Date,Year,MonthNo,MonthName,Quarter,Week,DayOfWeekNo,DayName,IsWeekend,YearMonth
2021-03-02,2021,3,March,Q1,9,2,Tuesday,False,2021-03
2021-03-03,2021,3,March,Q1,9,3,Wednesday,False,2021-03
2021-03-04,2021,3,March,Q1,9,4,Thursday,False,2021-03
2021-03-05,2021,3,March,Q1,9,5,Friday,False,2021-03
2021-03-06,2021,3,March,Q1,9,6,Saturday,True,2021-03
2021-03-07,2021,3,March,Q1,9,7,Sunday,True,2021-03
2021-03-08,2021,3,March,Q1,10,1,Monday,False,2021-03
2021-03-09,2021,3,March,Q1,10,2,Tuesday,False,2021-03
2021-03-10,2021,3,March,Q1,10,3,Wednesday,False,2021-03
2021-03-11,2021,3,March,Q1,10,4,Thursday,False,2021-03
2021-03-12,2021,3,March,Q1,10,5,Friday,False,2021-03
2021-03-13,2021,3,March,Q1,10,6,Saturday,True,2021-03
2021-03-14,2021,3,March,Q1,10,7,Sunday,True,2021-03
2021-03-15,2021,3,March,Q1,11,1,Monday,False,2021-03
2021-03-16,2021,3,March,Q1,11,2,Tuesday,False,2021-03
2021-03-17,2021,3,March,Q1,11,3,Wednesday,False,2021-03
2021-03-18,2021,3,March,Q1,11,4,Thursday,False,2021-03
2021-03-19,2021,3,March,Q1,11,5,Friday,False,2021-03
2021-03-20,2021,3,March,Q1,11,6,Saturday,True,2021-03
2021-03-21,2021,3,March,Q1,11,7,Sunday,True,2021-03
2021-03-22,2021,3,March,Q1,12,1,Monday,False,2021-03
2021-03-23,2021,3,March,Q1,12,2,Tuesday,False,2021-03
2021-03-24,2021,3,March,Q1,12,3,Wednesday,False,2021-03
2021-03-25,2021,3,March,Q1,12,4,Thursday,False,2021-03
2021-03-26,2021,3,March,Q1,12,5,Friday,False,2021-03
2021-03-27,2021,3,March,Q1,12,6,Saturday,True,2021-03
2021-03-28,2021,3,March,Q1,12,7,Sunday,True,2021-03
2021-03-29,2021,3,March,Q1,13,1,Monday,False,2021-03
2021-03-30,2021,3,March,Q1,13,2,Tuesday,False,2021-03
2021-03-31,2021,3,March,Q1,13,3,Wednesday,False,2021-03
2021-04-01,2021,4,April,Q2,13,4,Thursday,False,2021-04
2021-04-02,2021,4,April,Q2,13,5,Friday,False,2021-04
2021-04-03,2021,4,April,Q2,13,6,Saturday,True,2021-04
2021-04-04,2021,4,April,Q2,13,7,Sunday,True,2021-04
2021-04-05,2021,4,April,Q2,14,1,Monday,False,2021-04
2021-04-06,2021,4,April,Q2,14,2,Tuesday,False,2021-04
2021-04-07,2021,4,April,Q2,14,3,Wednesday,False,2021-04
2021-04-08,2021,4,April,Q2,14,4,Thursday,False,2021-04
2021-04-09,2021,4,April,Q2,14,5,Friday,False,2021-04
2021-04-10,2021,4,April,Q2,14,6,Saturday,True,2021-04
2021-04-11,2021,4,April,Q2,14,7,Sunday,True,2021-04
2021-04-12,2021,4,April,Q2,15,1,Monday,False,2021-04
2021-04-13,2021,4,April,Q2,15,2,Tuesday,False,2021-04
2021-04-14,2021,4,April,Q2,15,3,Wednesday,False,2021-04
2021-04-15,2021,4,April,Q2,15,4,Thursday,False,2021-04
2021-04-16,2021,4,April,Q2,15,5,Friday,False,2021-04
2021-04-17,2021,4,April,Q2,15,6,Saturday,True,2021-04
2021-04-18,2021,4,April,Q2,15,7,Sunday,True,2021-04
2021-04-19,2021,4,April,Q2,16,1,Monday,False,2021-04
2021-04-20,2021,4,April,Q2,16,2,Tuesday,False,2021-04
2021-04-21,2021,4,April,Q2,16,3,Wednesday,False,2021-04
2021-04-22,2021,4,April,Q2,16,4,Thursday,False,2021-04
2021-04-23,2021,4,April,Q2,16,5,Friday,False,2021-04
2021-04-24,2021,4,April,Q2,16,6,Saturday,True,2021-04
2021-04-25,2021,4,April,Q2,16,7,Sunday,True,2021-04
2021-04-26,2021,4,April,Q2,17,1,Monday,False,2021-04
2021-04-27,2021,4,April,Q2,17,2,Tuesday,False,2021-04
2021-04-28,2021,4,April,Q2,17,3,Wednesday,False,2021-04
2021-04-29,2021,4,April,Q2,17,4,Thursday,False,2021-04
2021-04-30,2021,4,April,Q2,17,5,Friday,False,2021-04
2021-05-01,2021,5,May,Q2,17,6,Saturday,True,2021-05
2021-05-02,2021,5,May,Q2,17,7,Sunday,True,2021-05
2021-05-03,2021,5,May,Q2,18,1,Monday,False,2021-05
2021-05-04,2021,5,May,Q2,18,2,Tuesday,False,2021-05
2021-05-05,2021,5,May,Q2,18,3,Wednesday,False,2021-05
2021-05-06,2021,5,May,Q2,18,4,Thursday,False,2021-05
2021-05-07,2021,5,May,Q2,18,5,Friday,False,2021-05
2021-05-08,2021,5,May,Q2,18,6,Saturday,True,2021-05
2021-05-09,2021,5,May,Q2,18,7,Sunday,True,2021-05
2021-05-10,2021,5,May,Q2,19,1,Monday,False,2021-05
2021-05-11,2021,5,May,Q2,19,2,Tuesday,False,2021-05
2021-05-12,2021,5,May,Q2,19,3,Wednesday,False,2021-05
2021-05-13,2021,5,May,Q2,19,4,Thursday,False,2021-05
2021-05-14,2021,5,May,Q2,19,5,Friday,False,2021-05
2021-05-15,2021,5,May,Q2,19,6,Saturday,True,2021-05
2021-05-16,2021,5,May,Q2,19,7,Sunday,True,2021-05
2021-05-17,2021,5,May,Q2,20,1,Monday,False,2021-05
2021-05-18,2021,5,May,Q2,20,2,Tuesday,False,2021-05
2021-05-19,2021,5,May,Q2,20,3,Wednesday,False,2021-05
2021-05-20,2021,5,May,Q2,20,4,Thursday,False,2021-05
2021-05-21,2021,5,May,Q2,20,5,Friday,False,2021-05
2021-05-22,2021,5,May,Q2,20,6,Saturday,True,2021-05
2021-05-23,2021,5,May,Q2,20,7,Sunday,True,2021-05
2021-05-24,2021,5,May,Q2,21,1,Monday,False,2021-05
2021-05-25,2021,5,May,Q2,21,2,Tuesday,False,2021-05
2021-05-26,2021,5,May,Q2,21,3,Wednesday,False,2021-05
2021-05-27,2021,5,May,Q2,21,4,Thursday,False,2021-05
2021-05-28,2021,5,May,Q2,21,5,Friday,False,2021-05
2021-05-29,2021,5,May,Q2,21,6,Saturday,True,2021-05
2021-05-30,2021,5,May,Q2,21,7,Sunday,True,2021-05
2021-05-31,2021,5,May,Q2,22,1,Monday,False,2021-05
2021-06-01,2021,6,June,Q2,22,2,Tuesday,False,2021-06
2021-06-02,2021,6,June,Q2,22,3,Wednesday,False,2021-06
2021-06-03,2021,6,June,Q2,22,4,Thursday,False,2021-06
2021-06-04,2021,6,June,Q2,22,5,Friday,False,2021-06
2021-06-05,2021,6,June,Q2,22,6,Saturday,True,2021-06
2021-06-06,2021,6,June,Q2,22,7,Sunday,True,2021-06
2021-06-07,2021,6,June,Q2,23,1,Monday,False,2021-06
2021-06-08,2021,6,June,Q2,23,2,Tuesday,False,2021-06
2021-06-09,2021,6,June,Q2,23,3,Wednesday,False,2021-06
2021-06-10,2021,6,June,Q2,23,4,Thursday,False,2021-06
2021-06-11,2021,6,June,Q2,23,5,Friday,False,2021-06
2021-06-12,2021,6,June,Q2,23,6,Saturday,True,2021-06
2021-06-13,2021,6,June,Q2,23,7,Sunday,True,2021-06
2021-06-14,2021,6,June,Q2,24,1,Monday,False,2021-06
2021-06-15,2021,6,June,Q2,24,2,Tuesday,False,2021-06
2021-06-16,2021,6,June,Q2,24,3,Wednesday,False,2021-06
2021-06-17,2021,6,June,Q2,24,4,Thursday,False,2021-06
2021-06-18,2021,6,June,Q2,24,5,Friday,False,2021-06
2021-06-19,2021,6,June,Q2,24,6,Saturday,True,2021-06
2021-06-20,2021,6,June,Q2,24,7,Sunday,True,2021-06
2021-06-21,2021,6,June,Q2,25,1,Monday,False,2021-06
2021-06-22,2021,6,June,Q2,25,2,Tuesday,False,2021-06
2021-06-23,2021,6,June,Q2,25,3,Wednesday,False,2021-06
2021-06-24,2021,6,June,Q2,25,4,Thursday,False,2021-06
2021-06-25,2021,6,June,Q2,25,5,Friday,False,2021-06
2021-06-26,2021,6,June,Q2,25,6,Saturday,True,2021-06
2021-06-27,2021,6,June,Q2,25,7,Sunday,True,2021-06
2021-06-28,2021,6,June,Q2,26,1,Monday,False,2021-06
2021-06-29,2021,6,June,Q2,26,2,Tuesday,False,2021-06
2021-06-30,2021,6,June,Q2,26,3,Wednesday,False,2021-06
2021-07-01,2021,7,July,Q3,26,4,Thursday,False,2021-07
2021-07-02,2021,7,July,Q3,26,5,Friday,False,2021-07
2021-07-03,2021,7,July,Q3,26,6,Saturday,True,2021-07
2021-07-04,2021,7,July,Q3,26,7,Sunday,True,2021-07
2021-07-05,2021,7,July,Q3,27,1,Monday,False,2021-07
2021-07-06,2021,7,July,Q3,27,2,Tuesday,False,2021-07
2021-07-07,2021,7,July,Q3,27,3,Wednesday,False,2021-07
2021-07-08,2021,7,July,Q3,27,4,Thursday,False,2021-07
2021-07-09,2021,7,July,Q3,27,5,Friday,False,2021-07
2021-07-10,2021,7,July,Q3,27,6,Saturday,True,2021-07
2021-07-11,2021,7,July,Q3,27,7,Sunday,True,2021-07
2021-07-12,2021,7,July,Q3,28,1,Monday,False,2021-07
2021-07-13,2021,7,July,Q3,28,2,Tuesday,False,2021-07
2021-07-14,2021,7,July,Q3,28,3,Wednesday,False,2021-07
2021-07-15,2021,7,July,Q3,28,4,Thursday,False,2021-07
2021-07-16,2021,7,July,Q3,28,5,Friday,False,2021-07
2021-07-17,2021,7,July,Q3,28,6,Saturday,True,2021-07
2021-07-18,2021,7,July,Q3,28,7,Sunday,True,2021-07
2021-07-19,2021,7,July,Q3,29,1,Monday,False,2021-07
2021-07-20,2021,7,July,Q3,29,2,Tuesday,False,2021-07
2021-07-21,2021,7,July,Q3,29,3,Wednesday,False,2021-07
2021-07-22,2021,7,July,Q3,29,4,Thursday,False,2021-07
2021-07-23,2021,7,July,Q3,29,5,Friday,False,2021-07
2021-07-24,2021,7,July,Q3,29,6,Saturday,True,2021-07
2021-07-25,2021,7,July,Q3,29,7,Sunday,True,2021-07
2021-07-26,2021,7,July,Q3,30,1,Monday,False,2021-07
2021-07-27,2021,7,July,Q3,30,2,Tuesday,False,2021-07
2021-07-28,2021,7,July,Q3,30,3,Wednesday,False,2021-07
2021-07-29,2021,7,July,Q3,30,4,Thursday,False,2021-07
2021-07-30,2021,7,July,Q3,30,5,Friday,False,2021-07
2021-07-31,2021,7,July,Q3,30,6,Saturday,True,2021-07
2021-08-01,2021,8,August,Q3,30,7,Sunday,True,2021-08
2021-08-02,2021,8,August,Q3,31,1,Monday,False,2021-08
2021-08-03,2021,8,August,Q3,31,2,Tuesday,False,2021-08
2021-08-04,2021,8,August,Q3,31,3,Wednesday,False,2021-08
2021-08-05,2021,8,August,Q3,31,4,Thursday,False,2021-08
2021-08-06,2021,8,August,Q3,31,5,Friday,False,2021-08
2021-08-07,2021,8,August,Q3,31,6,Saturday,True,2021-08
2021-08-08,2021,8,August,Q3,31,7,Sunday,True,2021-08
2021-08-09,2021,8,August,Q3,32,1,Monday,False,2021-08
2021-08-10,2021,8,August,Q3,32,2,Tuesday,False,2021-08
2021-08-11,2021,8,August,Q3,32,3,Wednesday,False,2021-08
2021-08-12,2021,8,August,Q3,32,4,Thursday,False,2021-08
2021-08-13,2021,8,August,Q3,32,5,Friday,False,2021-08
2021-08-14,2021,8,August,Q3,32,6,Saturday,True,2021-08
2021-08-15,2021,8,August,Q3,32,7,Sunday,True,2021-08
2021-08-16,2021,8,August,Q3,33,1,Monday,False,2021-08
2021-08-17,2021,8,August,Q3,33,2,Tuesday,False,2021-08
2021-08-18,2021,8,August,Q3,33,3,Wednesday,False,2021-08
2021-08-19,2021,8,August,Q3,33,4,Thursday,False,2021-08
2021-08-20,2021,8,August,Q3,33,5,Friday,False,2021-08
2021-08-21,2021,8,August,Q3,33,6,Saturday,True,2021-08
2021-08-22,2021,8,August,Q3,33,7,Sunday,True,2021-08
2021-08-23,2021,8,August,Q3,34,1,Monday,False,2021-08
2021-08-24,2021,8,August,Q3,34,2,Tuesday,False,2021-08
2021-08-25,2021,8,August,Q3,34,3,Wednesday,False,2021-08
2021-08-26,2021,8,August,Q3,34,4,Thursday,False,2021-08
2021-08-27,2021,8,August,Q3,34,5,Friday,False,2021-08
2021-08-28,2021,8,August,Q3,34,6,Saturday,True,2021-08
2021-08-29,2021,8,August,Q3,34,7,Sunday,True,2021-08
2021-08-30,2021,8,August,Q3,35,1,Monday,False,2021-08
2021-08-31,2021,8,August,Q3,35,2,Tuesday,False,2021-08
2021-09-01,2021,9,September,Q3,35,3,Wednesday,False,2021-09
2021-09-02,2021,9,September,Q3,35,4,Thursday,False,2021-09
2021-09-03,2021,9,September,Q3,35,5,Friday,False,2021-09
2021-09-04,2021,9,September,Q3,35,6,Saturday,True,2021-09
2021-09-05,2021,9,September,Q3,35,7,Sunday,True,2021-09
2021-09-06,2021,9,September,Q3,36,1,Monday,False,2021-09
2021-09-07,2021,9,September,Q3,36,2,Tuesday,False,2021-09
2021-09-08,2021,9,September,Q3,36,3,Wednesday,False,2021-09
2021-09-09,2021,9,September,Q3,36,4,Thursday,False,2021-09
2021-09-10,2021,9,September,Q3,36,5,Friday,False,2021-09
2021-09-11,2021,9,September,Q3,36,6,Saturday,True,2021-09
2021-09-12,2021,9,September,Q3,36,7,Sunday,True,2021-09
2021-09-13,2021,9,September,Q3,37,1,Monday,False,2021-09
2021-09-14,2021,9,September,Q3,37,2,Tuesday,False,2021-09
2021-09-15,2021,9,September,Q3,37,3,Wednesday,False,2021-09
2021-09-16,2021,9,September,Q3,37,4,Thursday,False,2021-09
2021-09-17,2021,9,September,Q3,37,5,Friday,False,2021-09
2021-09-18,2021,9,September,Q3,37,6,Saturday,True,2021-09
2021-09-19,2021,9,September,Q3,37,7,Sunday,True,2021-09
2021-09-20,2021,9,September,Q3,38,1,Monday,False,2021-09
2021-09-21,2021,9,September,Q3,38,2,Tuesday,False,2021-09
2021-09-22,2021,9,September,Q3,38,3,Wednesday,False,2021-09
2021-09-23,2021,9,September,Q3,38,4,Thursday,False,2021-09
2021-09-24,2021,9,September,Q3,38,5,Friday,False,2021-09
2021-09-25,2021,9,September,Q3,38,6,Saturday,True,2021-09
2021-09-26,2021,9,September,Q3,38,7,Sunday,True,2021-09
2021-09-27,2021,9,September,Q3,39,1,Monday,False,2021-09
2021-09-28,2021,9,September,Q3,39,2,Tuesday,False,2021-09
2021-09-29,2021,9,September,Q3,39,3,Wednesday,False,2021-09
2021-09-30,2021,9,September,Q3,39,4,Thursday,False,2021-09
2021-10-01,2021,10,October,Q4,39,5,Friday,False,2021-10
2021-10-02,2021,10,October,Q4,39,6,Saturday,True,2021-10
2021-10-03,2021,10,October,Q4,39,7,Sunday,True,2021-10
2021-10-04,2021,10,October,Q4,40,1,Monday,False,2021-10
2021-10-05,2021,10,October,Q4,40,2,Tuesday,False,2021-10
2021-10-06,2021,10,October,Q4,40,3,Wednesday,False,2021-10
2021-10-07,2021,10,October,Q4,40,4,Thursday,False,2021-10
2021-10-08,2021,10,October,Q4,40,5,Friday,False,2021-10
2021-10-09,2021,10,October,Q4,40,6,Saturday,True,2021-10
2021-10-10,2021,10,October,Q4,40,7,Sunday,True,2021-10
2021-10-11,2021,10,October,Q4,41,1,Monday,False,2021-10
2021-10-12,2021,10,October,Q4,41,2,Tuesday,False,2021-10
2021-10-13,2021,10,October,Q4,41,3,Wednesday,False,2021-10
2021-10-14,2021,10,October,Q4,41,4,Thursday,False,2021-10
2021-10-15,2021,10,October,Q4,41,5,Friday,False,2021-10
2021-10-16,2021,10,October,Q4,41,6,Saturday,True,2021-10
2021-10-17,2021,10,October,Q4,41,7,Sunday,True,2021-10
2021-10-18,2021,10,October,Q4,42,1,Monday,False,2021-10
2021-10-19,2021,10,October,Q4,42,2,Tuesday,False,2021-10
2021-10-20,2021,10,October,Q4,42,3,Wednesday,False,2021-10
2021-10-21,2021,10,October,Q4,42,4,Thursday,False,2021-10
2021-10-22,2021,10,October,Q4,42,5,Friday,False,2021-10
2021-10-23,2021,10,October,Q4,42,6,Saturday,True,2021-10
2021-10-24,2021,10,October,Q4,42,7,Sunday,True,2021-10
2021-10-25,2021,10,October,Q4,43,1,Monday,False,2021-10
2021-10-26,2021,10,October,Q4,43,2,Tuesday,False,2021-10
2021-10-27,2021,10,October,Q4,43,3,Wednesday,False,2021-10
2021-10-28,2021,10,October,Q4,43,4,Thursday,False,2021-10
2021-10-29,2021,10,October,Q4,43,5,Friday,False,2021-10
2021-10-30,2021,10,October,Q4,43,6,Saturday,True,2021-10
2021-10-31,2021,10,October,Q4,43,7,Sunday,True,2021-10
2021-11-01,2021,11,November,Q4,44,1,Monday,False,2021-11
2021-11-02,2021,11,November,Q4,44,2,Tuesday,False,2021-11
2021-11-03,2021,11,November,Q4,44,3,Wednesday,False,2021-11
2021-11-04,2021,11,November,Q4,44,4,Thursday,False,2021-11
2021-11-05,2021,11,November,Q4,44,5,Friday,False,2021-11
2021-11-06,2021,11,November,Q4,44,6,Saturday,True,2021-11
2021-11-07,2021,11,November,Q4,44,7,Sunday,True,2021-11
2021-11-08,2021,11,November,Q4,45,1,Monday,False,2021-11
2021-11-09,2021,11,November,Q4,45,2,Tuesday,False,2021-11
2021-11-10,2021,11,November,Q4,45,3,Wednesday,False,2021-11
2021-11-11,2021,11,November,Q4,45,4,Thursday,False,2021-11
2021-11-12,2021,11,November,Q4,45,5,Friday,False,2021-11
2021-11-13,2021,11,November,Q4,45,6,Saturday,True,2021-11
2021-11-14,2021,11,November,Q4,45,7,Sunday,True,2021-11
2021-11-15,2021,11,November,Q4,46,1,Monday,False,2021-11
2021-11-16,2021,11,November,Q4,46,2,Tuesday,False,2021-11
2021-11-17,2021,11,November,Q4,46,3,Wednesday,False,2021-11
2021-11-18,2021,11,November,Q4,46,4,Thursday,False,2021-11
2021-11-19,2021,11,November,Q4,46,5,Friday,False,2021-11
2021-11-20,2021,11,November,Q4,46,6,Saturday,True,2021-11
2021-11-21,2021,11,November,Q4,46,7,Sunday,True,2021-11
2021-11-22,2021,11,November,Q4,47,1,Monday,False,2021-11
2021-11-23,2021,11,November,Q4,47,2,Tuesday,False,2021-11
2021-11-24,2021,11,November,Q4,47,3,Wednesday,False,2021-11
2021-11-25,2021,11,November,Q4,47,4,Thursday,False,2021-11
2021-11-26,2021,11,November,Q4,47,5,Friday,False,2021-11
2021-11-27,2021,11,November,Q4,47,6,Saturday,True,2021-11
2021-11-28,2021,11,November,Q4,47,7,Sunday,True,2021-11
2021-11-29,2021,11,November,Q4,48,1,Monday,False,2021-11
2021-11-30,2021,11,November,Q4,48,2,Tuesday,False,2021-11
2021-12-01,2021,12,December,Q4,48,3,Wednesday,False,2021-12
2021-12-02,2021,12,December,Q4,48,4,Thursday,False,2021-12
2021-12-03,2021,12,December,Q4,48,5,Friday,False,2021-12
2021-12-04,2021,12,December,Q4,48,6,Saturday,True,2021-12
2021-12-05,2021,12,December,Q4,48,7,Sunday,True,2021-12
2021-12-06,2021,12,December,Q4,49,1,Monday,False,2021-12
2021-12-07,2021,12,December,Q4,49,2,Tuesday,False,2021-12
2021-12-08,2021,12,December,Q4,49,3,Wednesday,False,2021-12
2021-12-09,2021,12,December,Q4,49,4,Thursday,False,2021-12
2021-12-10,2021,12,December,Q4,49,5,Friday,False,2021-12
2021-12-11,2021,12,December,Q4,49,6,Saturday,True,2021-12
2021-12-12,2021,12,December,Q4,49,7,Sunday,True,2021-12
2021-12-13,2021,12,December,Q4,50,1,Monday,False,2021-12
2021-12-14,2021,12,December,Q4,50,2,Tuesday,False,2021-12
2021-12-15,2021,12,December,Q4,50,3,Wednesday,False,2021-12
2021-12-16,2021,12,December,Q4,50,4,Thursday,False,2021-12
2021-12-17,2021,12,December,Q4,50,5,Friday,False,2021-12
2021-12-18,2021,12,December,Q4,50,6,Saturday,True,2021-12
2021-12-19,2021,12,December,Q4,50,7,Sunday,True,2021-12
2021-12-20,2021,12,December,Q4,51,1,Monday,False,2021-12
2021-12-21,2021,12,December,Q4,51,2,Tuesday,False,2021-12
2021-12-22,2021,12,December,Q4,51,3,Wednesday,False,2021-12
2021-12-23,2021,12,December,Q4,51,4,Thursday,False,2021-12
2021-12-24,2021,12,December,Q4,51,5,Friday,False,2021-12
2021-12-25,2021,12,December,Q4,51,6,Saturday,True,2021-12
2021-12-26,2021,12,December,Q4,51,7,Sunday,True,2021-12
2021-12-27,2021,12,December,Q4,52,1,Monday,False,2021-12
2021-12-28,2021,12,December,Q4,52,2,Tuesday,False,2021-12
2021-12-29,2021,12,December,Q4,52,3,Wednesday,False,2021-12
2021-12-30,2021,12,December,Q4,52,4,Thursday,False,2021-12
2021-12-31,2021,12,December,Q4,52,5,Friday,False,2021-12
2022-01-01,2022,1,January,Q1,52,6,Saturday,True,2022-01
2022-01-02,2022,1,January,Q1,52,7,Sunday,True,2022-01
2022-01-03,2022,1,January,Q1,1,1,Monday,False,2022-01
2022-01-04,2022,1,January,Q1,1,2,Tuesday,False,2022-01
2022-01-05,2022,1,January,Q1,1,3,Wednesday,False,2022-01
2022-01-06,2022,1,January,Q1,1,4,Thursday,False,2022-01
2022-01-07,2022,1,January,Q1,1,5,Friday,False,2022-01
2022-01-08,2022,1,January,Q1,1,6,Saturday,True,2022-01
2022-01-09,2022,1,January,Q1,1,7,Sunday,True,2022-01
2022-01-10,2022,1,January,Q1,2,1,Monday,False,2022-01
2022-01-11,2022,1,January,Q1,2,2,Tuesday,False,2022-01
2022-01-12,2022,1,January,Q1,2,3,Wednesday,False,2022-01
2022-01-13,2022,1,January,Q1,2,4,Thursday,False,2022-01
2022-01-14,2022,1,January,Q1,2,5,Friday,False,2022-01
2022-01-15,2022,1,January,Q1,2,6,Saturday,True,2022-01
2022-01-16,2022,1,January,Q1,2,7,Sunday,True,2022-01
2022-01-17,2022,1,January,Q1,3,1,Monday,False,2022-01
2022-01-18,2022,1,January,Q1,3,2,Tuesday,False,2022-01
2022-01-19,2022,1,January,Q1,3,3,Wednesday,False,2022-01
2022-01-20,2022,1,January,Q1,3,4,Thursday,False,2022-01
2022-01-21,2022,1,January,Q1,3,5,Friday,False,2022-01
2022-01-22,2022,1,January,Q1,3,6,Saturday,True,2022-01
2022-01-23,2022,1,January,Q1,3,7,Sunday,True,2022-01
2022-01-24,2022,1,January,Q1,4,1,Monday,False,2022-01
2022-01-25,2022,1,January,Q1,4,2,Tuesday,False,2022-01
2022-01-26,2022,1,January,Q1,4,3,Wednesday,False,2022-01
2022-01-27,2022,1,January,Q1,4,4,Thursday,False,2022-01
2022-01-28,2022,1,January,Q1,4,5,Friday,False,2022-01
2022-01-29,2022,1,January,Q1,4,6,Saturday,True,2022-01
2022-01-30,2022,1,January,Q1,4,7,Sunday,True,2022-01
2022-01-31,2022,1,January,Q1,5,1,Monday,False,2022-01
2022-02-01,2022,2,February,Q1,5,2,Tuesday,False,2022-02
2022-02-02,2022,2,February,Q1,5,3,Wednesday,False,2022-02
2022-02-03,2022,2,February,Q1,5,4,Thursday,False,2022-02
2022-02-04,2022,2,February,Q1,5,5,Friday,False,2022-02
2022-02-05,2022,2,February,Q1,5,6,Saturday,True,2022-02
2022-02-06,2022,2,February,Q1,5,7,Sunday,True,2022-02
2022-02-07,2022,2,February,Q1,6,1,Monday,False,2022-02
2022-02-08,2022,2,February,Q1,6,2,Tuesday,False,2022-02
2022-02-09,2022,2,February,Q1,6,3,Wednesday,False,2022-02
2022-02-10,2022,2,February,Q1,6,4,Thursday,False,2022-02
2022-02-11,2022,2,February,Q1,6,5,Friday,False,2022-02
2022-02-12,2022,2,February,Q1,6,6,Saturday,True,2022-02
