ID_Transaccion,Fecha,Tienda,Cliente,Producto,Canal,Metodo_Pago,Promocion,Cantidad,Precio_Unitario,Descuento,Venta_Bruta,Impuesto,Venta_Neta,Costo_Unitario,Es_Devolucion,Notas,Columna_Vacia
2022-000015,25/01/2022 10:52,S1005,C00012,P2069,Call Center,Tarjeta,Promo 10%,5,172.4,0.1,862.0,112.06,749.94,145.02,0,,
2022-000016,03/08/2022 16:28,S1012,C00218,P2010,Web,Financiamiento,Promo 10%,1,404.09,0.0,404.09,48.49,355.6,210.17,0,,
2022-000017,26/11/2022 11:03,S1038,C00193,P2114,Call Center,Transferencia,Black Friday,1,554.0,0.0,554.0,72.02,481.98,274.57,1,,
2022-000018,17/11/2022 21:20,S1015,C00790,P2074,Tienda,Billetera Digital,Black Friday,1,267.21,0.05,267.21,32.07,235.14,138.92,0,,
2022-000019,04/06/2022 00:06,S1027,C00319,P2004,Marketplace,Financiamiento,Sin Promo,1,516.47,0.05,516.47,77.47,439.0,298.92,0,,
2022-000020,23/01/2022 19:51,S1044,C00288,P2125,Tienda,Billetera Digital,Promo 10%,1,292.95,0.15,292.95,38.08,254.87,235.01,0,,
2022-000021,24/01/2022 06:02,S1034,C00771,P2150,Marketplace,Transferencia,Promo 10%,1,234.07,0.0,234.07,35.11,198.96,154.53,0,,
2022-000022,17/01/2022 10:10,S1038,C00541,P2159,Tienda,Billetera Digital,Promo 10%,1,576.79,0.1,576.79,74.98,501.81,434.27,0,,
2022-000023,22/03/2022 12:41,S1008,C00168,P2104,Web,Efectivo,Sin Promo,5,702.23,0.0,3511.15,456.45,3054.7,405.18,0,,
2022-000024,06/05/2022 13:01,S1032,C00497,P2139,Marketplace,Transferencia,Promo 15%,1,20.28,0.0,20.28,3.04,17.24,12.71,0,,
2022-000025,28/02/2022 22:30,S1024,C00232,P2117,Marketplace,Transferencia,Promo 15%,4,84.2,0.0,336.8,50.52,286.28,41.82,1,,
2022-000026,16/12/2022 01:12,S1034,C00729,P2111,Marketplace,Efectivo,Black Friday,1,277.51,0.05,277.51,41.63,235.88,191.52,0,,
2022-000027,06/05/2022 07:01,S1003,C00690,P2154,Web,Financiamiento,Promo 10%,4,733.21,0.0,2932.84,381.27,2551.57,427.53,0,,
2022-000028,07/08/2022 04:48,S1008,C00046,P2121,Tienda,Transferencia,Black Friday,1,376.0,0.1,376.0,48.88,327.12,207.12,1,,
2022-000029,03/10/2022 23:29,S1036,C00068,P2107,Marketplace,Transferencia,Sin Promo,1,322.0,0.0,322.0,48.3,273.7,196.36,0,,
2022-000030,24/10/2022 02:05,S1018,C00467,P2149,Call Center,Transferencia,Black Friday,2,224.81,0.0,449.62,53.95,395.67,173.08,0,,
2022-000031,11/11/2022 04:52,S1007,C00217,P2140,Web,Efectivo,2x1,5,14.41,0.0,72.05,9.37,62.68,6.63,0,,
2022-000032,12/04/2022 02:44,S1029,C00662,P2062,Marketplace,Transferencia,Promo 10%,2,111.89,0.0,223.78,33.57,190.21,74.21,0,,
2022-000033,08/01/2022 13:58,S1020,C00224,P2037,Marketplace,Tarjeta,Black Friday,1,499.04,0.2,499.04,74.86,424.18,405.23,0,,
2022-000034,18/08/2022 12:26,S1002,C00128,P2142,Tienda,Billetera Digital,Promo 10%,2,395.11,0.2,790.22,102.73,687.49,331.65,0,,
2022-000035,22/07/2022 16:15,S1022,C00103,P2065,Tienda,Financiamiento,Promo 15%,1,408.29,0.0,408.29,61.24,347.05,269.16,0,,
2022-000036,25/07/2022 04:39,S1010,C00622,P2088,Marketplace,Financiamiento,Promo 15%,5,457.54,0.2,2287.7,274.52,2013.18,308.2,0,,
2022-000037,08/12/2022 18:31,S1006,C00460,P2071,Marketplace,Financiamiento,Sin Promo,2,459.39,0.05,918.78,119.44,799.34,243.78,0,,
2022-000038,26/12/2022 00:55,S1036,C00007,P2124,Tienda,Financiamiento,Promo 10%,4,451.91,0.05,1807.64,271.15,1536.49,351.18,0,,
2022-000039,03/01/2022 20:47,S1003,C00072,P2067,Marketplace,Transferencia,Promo 10%,2,495.08,0.15,990.16,128.72,861.44,420.88,0,,
2022-000040,01/02/2022 06:57,S1017,C00680,P2013,Tienda,Transferencia,Cyber Week,1,200.2,0.0,200.2,24.02,176.18,98.1,0,,
2022-000041,19/06/2022 12:54,S1002,C00577,P2152,Marketplace,Efectivo,Cyber Week,1,499.51,0.0,499.51,64.94,434.57,338.06,0,,
2022-000042,21/02/2022 21:11,S1042,C00151,P2040,Web,Tarjeta,Black Friday,2,59.49,0.0,118.98,15.47,103.51,35.66,0,,
2022-000043,06/09/2022 21:31,S1018,C00732,P2018,Marketplace,Financiamiento,Black Friday,2,391.86,0.0,783.72,94.05,689.67,224.11,0,,
2022-000044,11/07/2022 09:09,S1018,C00410,P2118,Tienda,Billetera Digital,Black Friday,4,65.15,0.0,260.6,31.27,229.33,45.65,0,,
2022-000045,29/12/2022 09:15,S1009,C00436,P2134,Marketplace,Billetera Digital,Sin Promo,2,205.33,0.15,410.66,53.39,357.27,153.79,0,,
2022-000046,03/04/2022 00:16,S1008,C00504,P2159,Call Center,Financiamiento,Sin Promo,1,576.79,0.1,576.79,74.98,501.81,434.27,0,,
2022-000047,10/09/2022 23:05,S1043,C00558,P2005,Web,Efectivo,Promo 10%,1,491.34,0.1,491.34,63.87,427.47,390.45,0,,
2022-000048,29/10/2022 21:27,S1023,C00399,P2080,Marketplace,Tarjeta,Promo 15%,6,286.7,0.05,1720.2,258.03,1462.17,221.89,0,,
2022-000049,30/01/2022 06:02,S1037,C00519,P2135,Marketplace,Financiamiento,Promo 15%,1,129.99,0.15,129.99,16.9,113.09,71.27,0,,
2022-000050,24/09/2022 12:08,S1014,C00671,P2092,Marketplace,Billetera Digital,Black Friday,2,641.99,0.2,1283.98,154.08,1129.9,416.32,0,,
2022-000051,05/10/2022 06:15,S1021,C00352,P2148,Call Center,Financiamiento,Promo 10%,5,674.81,0.0,3374.05,506.11,2867.94,390.62,0,,
2022-000052,30/03/2022 00:39,S1015,C00244,P2154,Call Center,Financiamiento,Promo 10%,3,733.21,0.0,2199.63,263.96,1935.67,427.53,1,,
2022-000053,27/10/2022 06:07,S1012,C00630,P2089,Marketplace,Transferencia,Sin Promo,1,736.54,0.0,736.54,88.38,648.16,351.93,0,,
2022-000054,20/07/2022 06:08,S1042,C00310,P2106,Web,Transferencia,Sin Promo,2,461.42,0.0,922.84,119.97,802.87,310.34,0,,
2022-000055,01/10/2022 06:40,S1002,C00706,P2072,Call Center,Efectivo,Promo 15%,1,483.7,0.2,483.7,62.88,420.82,420.23,0,,
2022-000056,30/03/2022 20:06,S1011,C00687,P2018,Marketplace,Efectivo,Cyber Week,1,352.67,0.1,352.67,42.32,310.35,224.11,0,,
2022-000057,16/02/2022 06:10,S1009,C00767,P2016,Marketplace,Tarjeta,Promo 15%,3,172.59,0.0,517.77,67.31,450.46,121.18,0,,
2022-000058,21/10/2022 06:22,S1036,C00213,P2156,Tienda,Billetera Digital,Cyber Week,2,65.14,0.2,130.28,19.54,110.74,55.02,1,,
2022-000059,02/08/2022 14:21,S1016,C00637,P2134,Call Center,Tarjeta,Promo 10%,1,205.33,0.15,205.33,24.64,180.69,153.79,0,,
2022-000060,24/07/2022 00:00,S1044,C00578,P2145,Marketplace,Tarjeta,Black Friday,1,94.41,0.2,94.41,12.27,82.14,77.61,0,,
2022-000061,09/08/2022 07:04,S1042,C00348,P2092,Marketplace,Tarjeta,Sin Promo,1,762.37,0.05,762.37,99.11,663.26,416.32,1,,
2022-000062,29/04/2022 22:22,S1010,C00323,P2130,Tienda,Billetera Digital,Promo 10%,1,596.1,0.15,596.1,71.53,524.57,404.15,0,,
2022-000063,09/07/2022 07:18,S1026,C00788,P2050,Web,Efectivo,Promo 15%,2,273.95,0.0,547.9,82.18,465.72,192.16,0,,
2022-000064,17/02/2022 03:09,S1036,C00141,P2079,Call Center,Tarjeta,Cyber Week,5,249.59,0.0,1247.95,187.19,1060.76,156.92,0,,
2022-000065,03/08/2022 00:46,S1030,C00363,P2019,Call Center,Financiamiento,Cyber Week,5,471.27,0.0,2356.35,353.45,2002.9,283.84,0,,
2022-000066,14/06/2022 14:33,S1037,C00653,P2022,Call Center,Tarjeta,2x1,1,449.93,0.0,449.93,58.49,391.44,325.44,0,,
2022-000067,08/03/2022 14:13,S1007,C00604,P2058,Marketplace,Tarjeta,Sin Promo,1,396.02,0.15,396.02,51.48,344.54,324.41,0,,
2022-000068,16/06/2022 08:18,S1039,C00441,P2047,Marketplace,Financiamiento,Sin Promo,2,456.79,0.0,913.58,118.77,794.81,295.44,0,,
2022-000069,06/08/2022 23:59,S1009,C00015,P2083,Tienda,Efectivo,Promo 10%,1,523.42,0.0,523.42,68.04,455.38,334.59,0,,
2022-000070,28/02/2022 00:27,S1042,C00248,P2090,Marketplace,Transferencia,Cyber Week,2,99.1,0.2,198.2,25.77,172.43,72.93,0,,
2022-000071,11/08/2022 10:54,S1029,C00635,P2085,Tienda,Financiamiento,Promo 15%,1,31.02,0.0,31.02,4.65,26.37,20.07,0,,
2022-000072,28/05/2022 04:14,S1037,C00754,P2053,Call Center,Efectivo,2x1,4,934.5,0.0,3738.0,485.94,3252.06,436.17,0,,
2022-000073,04/12/2022 14:08,S1007,C00345,P2153,Call Center,Tarjeta,2x1,2,387.51,0.05,775.02,100.75,674.27,293.96,1,,
2022-000074,17/04/2022 09:08,S1015,C00313,P2088,Tienda,Transferencia,2x1,2,571.92,0.0,1143.84,137.26,1006.58,308.2,0,,
2022-000075,31/08/2022 11:56,S1007,C00008,P2132,Call Center,Tarjeta,Sin Promo,4,321.61,0.0,1286.44,167.24,1119.2,220.13,0,,
2022-000076,14/11/2022 22:24,S1008,C00400,P2056,Marketplace,Efectivo,Sin Promo,2,886.94,0.0,1773.88,230.6,1543.28,417.23,0,,
2022-000077,27/05/2022 20:24,S1036,C00090,P2080,Marketplace,Transferencia,Sin Promo,1,301.79,0.0,301.79,45.27,256.52,221.89,0,,
2022-000078,28/03/2022 07:58,S1016,C00532,P2031,Marketplace,Efectivo,Black Friday,1,193.42,0.05,193.42,23.21,170.21,111.43,0,,
2022-000079,21/10/2022 09:18,S1018,C00526,P2088,Tienda,Efectivo,Promo 15%,2,457.54,0.2,915.08,109.81,805.27,308.2,0,,
2022-000080,02/10/2022 13:27,S1043,C00764,P2053,Web,Financiamiento,Black Friday,3,887.77,0.05,2663.31,346.23,2317.08,436.17,0,,
2022-000081,22/01/2022 10:13,S1002,C00236,P2145,Web,Billetera Digital,2x1,2,118.01,0.0,236.02,30.68,205.34,77.61,1,,
2022-000082,28/12/2022 09:41,S1024,C00042,P2115,Tienda,Billetera Digital,Promo 15%,1,372.57,0.0,372.57,55.89,316.68,201.2,0,,
2022-000083,14/09/2022 12:16,S1004,C00791,P2064,Call Center,Transferencia,Promo 10%,2,91.31,0.0,182.62,23.74,158.88,57.47,0,,
2022-000084,20/07/2022 10:08,S1023,C00560,P2125,Tienda,Tarjeta,Black Friday,1,275.72,0.2,275.72,41.36,234.36,235.01,0,,
2022-000085,02/09/2022 19:25,S1006,C00490,P2057,Call Center,Tarjeta,Promo 15%,1,356.83,0.15,356.83,46.39,310.44,314.68,0,,
2022-000086,28/11/2022 23:07,S1010,C00637,P2054,Marketplace,Efectivo,2x1,1,463.28,0.0,463.28,55.59,407.69,220.6,0,,
2022-000087,25/09/2022 09:32,S1013,C00352,P2009,Tienda,Financiamiento,Cyber Week,1,496.86,0.05,496.86,59.62,437.24,287.2,0,,
2022-000088,12/02/2022 19:44,S1031,C00104,P2083,Marketplace,Financiamiento,Promo 15%,3,418.74,0.2,1256.22,188.43,1067.79,334.59,0,,
2022-000089,28/08/2022 04:46,S1032,C00118,P2111,Web,Financiamiento,Black Friday,2,277.51,0.05,555.02,83.25,471.77,191.52,0,,
2022-000090,08/07/2022 23:59,S1017,C00413,P2146,Tienda,Billetera Digital,Promo 15%,1,264.57,0.15,264.57,31.75,232.82,242.22,0,,
2022-000091,08/11/2022 20:47,S1023,C00701,P2078,Web,Financiamiento,2x1,1,165.66,0.0,165.66,24.85,140.81,125.47,1,,
2022-000092,27/03/2022 21:00,S1005,C00080,P2076,Marketplace,Transferencia,Sin Promo,3,97.52,0.0,292.56,38.03,254.53,50.2,1,,
2022-000093,21/08/2022 23:39,S1027,C00610,P2155,Call Center,Tarjeta,Promo 15%,3,141.6,0.1,424.8,63.72,361.08,71.96,0,,
2022-000094,06/07/2022 14:59,S1014,C00365,P2034,Tienda,Transferencia,Sin Promo,3,249.8,0.05,749.4,89.93,659.47,122.22,0,,
2022-000095,28/12/2022 09:01,S1042,C00419,P2040,Web,Efectivo,Sin Promo,2,56.52,0.05,113.04,14.7,98.34,35.66,0,,
2022-000096,05/09/2022 23:28,S1026,C00056,P2019,Tienda,Financiamiento,2x1,2,471.27,0.0,942.54,141.38,801.16,283.84,1,,
2022-000097,03/03/2022 19:57,S1009,C00565,P2070,Web,Financiamiento,2x1,5,614.79,0.0,3073.95,399.61,2674.34,281.04,0,,
2022-000098,22/10/2022 23:23,S1044,C00011,P2075,Tienda,Billetera Digital,2x1,1,580.05,0.0,580.05,75.41,504.64,301.87,0,,
2022-000099,28/11/2022 18:27,S1025,C00341,P2025,Marketplace,Billetera Digital,Sin Promo,2,664.27,0.0,1328.54,199.28,1129.26,394.63,0,,
2022-000100,30/08/2022 07:28,S1031,C00308,P2071,Marketplace,Efectivo,Cyber Week,2,483.57,0.0,967.14,145.07,822.07,243.78,0,,
2022-000101,22/12/2022 22:29,S1044,C00432,P2017,Call Center,Financiamiento,Sin Promo,4,252.27,0.1,1009.08,131.18,877.9,182.13,1,,
2022-000102,11/06/2022 23:13,S1012,C00752,P2106,Marketplace,Billetera Digital,Promo 10%,1,461.42,0.0,461.42,55.37,406.05,310.34,0,,
2022-000103,02/03/2022 16:34,S1005,C00627,P2027,Call Center,Tarjeta,Black Friday,1,281.97,0.15,281.97,36.66,245.31,230.42,0,,
2022-000104,16/12/2022 16:07,S1045,C00141,P2029,Web,Efectivo,Sin Promo,1,466.92,0.05,466.92,60.7,406.22,271.13,0,,
2022-000105,25/07/2022 05:55,S1023,C00521,P2027,Tienda,Financiamiento,Promo 10%,2,281.97,0.15,563.94,84.59,479.35,230.42,0,,
2022-000106,25/10/2022 06:27,S1004,C00346,P2026,Tienda,Billetera Digital,Black Friday,3,413.93,0.1,1241.79,161.43,1080.36,230.43,0,,
2022-000107,09/09/2022 04:22,S1037,C00551,P2006,Marketplace,Efectivo,Promo 10%,2,381.91,0.05,763.82,99.3,664.52,287.52,0,,
2022-000108,16/02/2022 16:39,S1037,C00476,P2122,Call Center,Transferencia,Black Friday,3,681.62,0.0,2044.86,265.83,1779.03,324.38,0,,
2022-000109,29/03/2022 14:45,S1008,C00425,P2099,Tienda,Efectivo,Cyber Week,2,294.57,0.0,589.14,76.59,512.55,231.19,1,,
2022-000110,30/10/2022 19:29,S1045,C00455,P2072,Web,Tarjeta,Cyber Week,2,513.93,0.15,1027.86,133.62,894.24,420.23,0,,
2022-000111,17/06/2022 11:00,S1030,C00789,P2111,Tienda,Tarjeta,Promo 15%,2,248.3,0.15,496.6,74.49,422.11,191.52,0,,
2022-000112,17/10/2022 22:13,S1029,C00752,P2148,Tienda,Financiamiento,Black Friday,5,641.07,0.05,3205.35,480.8,2724.55,390.62,0,,
2022-000113,02/02/2022 22:27,S1039,C00462,P2033,Call Center,Efectivo,Sin Promo,1,72.32,0.1,72.32,9.4,62.92,61.26,0,,
2022-000114,13/05/2022 22:06,S1045,C00492,P2029,Web,Billetera Digital,Black Friday,2,491.5,0.0,983.0,127.79,855.21,271.13,1,,
2022-000115,23/05/2022 23:58,S1029,C00167,P2021,Tienda,Efectivo,Cyber Week,3,351.58,0.2,1054.74,158.21,896.53,239.98,1,,
2022-000116,08/02/2022 16:57,S1014,C00732,P2113,Call Center,Financiamiento,Black Friday,3,297.65,0.0,892.95,107.15,785.8,139.53,0,,
2022-000117,17/07/2022 23:05,S1020,C00316,P2006,Marketplace,Efectivo,Cyber Week,1,341.71,0.15,341.71,51.26,290.45,287.52,0,,
2022-000118,25/06/2022 23:29,S1032,C00799,P2001,Tienda,Tarjeta,2x1,2,76.66,0.2,153.32,23.0,130.32,59.67,1,,
2022-000119,10/05/2022 21:09,S1028,C00032,P2037,Web,Billetera Digital,Sin Promo,4,530.23,0.15,2120.92,318.14,1802.78,405.23,0,,
2022-000120,01/01/2022 07:16,S1031,C00745,P2134,Tienda,Tarjeta,2x1,5,193.25,0.2,966.25,144.94,821.31,153.79,0,,
2022-000121,03/11/2022 05:40,S1006,C00199,P2118,Tienda,Financiamiento,Sin Promo,1,65.15,0.0,65.15,8.47,56.68,45.65,0,,
2022-000122,16/01/2022 18:41,S1043,C00174,P2028,Tienda,Financiamiento,Promo 10%,2,598.19,0.0,1196.38,155.53,1040.85,344.08,0,,
2022-000123,18/03/2022 19:14,S1027,C00681,P2022,Web,Transferencia,Promo 15%,1,427.43,0.05,427.43,64.11,363.32,325.44,0,,
2022-000124,17/06/2022 01:05,S1005,C00370,P2025,Call Center,Efectivo,Black Friday,2,664.27,0.0,1328.54,172.71,1155.83,394.63,0,,
2022-000125,04/12/2022 21:05,S1039,C00523,P2144,Web,Financiamiento,Cyber Week,5,245.25,0.1,1226.25,159.41,1066.84,177.43,0,Revisar,
2022-000126,15/02/2022 02:44,S1011,C00681,P2065,Call Center,Billetera Digital,Cyber Week,1,408.29,0.0,408.29,48.99,359.3,269.16,0,,
2022-000127,04/11/2022 14:00,S1007,C00787,P2127,Call Center,Financiamiento,2x1,4,732.66,0.0,2930.64,380.98,2549.66,361.43,0,,
2022-000128,08/01/2022 20:17,S1033,C00092,P2101,Tienda,Efectivo,Black Friday,1,336.53,0.0,336.53,50.48,286.05,262.94,0,,
2022-000129,22/08/2022 02:04,S1007,C00053,P2082,Web,Financiamiento,Promo 10%,2,225.14,0.2,450.28,58.54,391.74,152.77,1,,
2022-000130,16/05/2022 10:13,S1011,C00769,P2008,Call Center,Efectivo,Cyber Week,1,874.23,0.0,874.23,104.91,769.32,421.75,0,,
2022-000131,21/06/2022 19:00,S1028,C00676,P2096,Tienda,Tarjeta,Promo 10%,2,604.2,0.05,1208.4,181.26,1027.14,369.96,0,,
2022-000132,01/06/2022 23:56,S1014,C00737,P2102,Marketplace,Efectivo,2x1,1,500.87,0.0,500.87,60.1,440.77,270.07,0,,
2022-000133,10/01/2022 21:19,S1033,C00210,P2006,Web,Financiamiento,Promo 15%,1,402.01,0.0,402.01,60.3,341.71,287.52,0,,
2022-000134,05/01/2022 06:38,S1022,C00352,P2131,Call Center,Financiamiento,Cyber Week,2,196.93,0.0,393.86,59.08,334.78,119.6,0,,
2022-000135,08/05/2022 22:12,S1002,C00772,P2054,Call Center,Tarjeta,Promo 10%,1,370.62,0.2,370.62,48.18,322.44,220.6,0,,
2022-000136,05/05/2022 13:40,S1008,C00010,P2088,Marketplace,Tarjeta,Promo 15%,1,457.54,0.2,457.54,59.48,398.06,308.2,0,,
2022-000137,24/04/2022 15:28,S1015,C00027,P2080,Tienda,Billetera Digital,2x1,1,241.43,0.2,241.43,28.97,212.46,221.89,0,,
2022-000138,23/05/2022 00:35,S1015,C00019,P2058,Call Center,Transferencia,Black Friday,5,372.73,0.2,1863.65,223.64,1640.01,324.41,0,,
2022-000139,17/03/2022 04:19,S1012,C00326,P2113,Call Center,Financiamiento,Promo 10%,1,253.0,0.15,253.0,30.36,222.64,139.53,0,,
2022-000140,09/07/2022 10:03,S1005,C00757,P2158,Call Center,Efectivo,Promo 10%,5,515.27,0.05,2576.35,334.93,2241.42,274.83,0,,
2022-000141,29/04/2022 15:34,S1032,C00419,P2052,Call Center,Billetera Digital,Black Friday,1,89.96,0.05,89.96,13.49,76.47,47.67,0,,
2022-000142,28/07/2022 10:19,S1010,C00164,P2140,Marketplace,Billetera Digital,Promo 15%,2,14.41,0.0,28.82,3.46,25.36,6.63,0,,
2022-000143,06/09/2022 06:20,S1012,C00579,P2070,Marketplace,Efectivo,Black Friday,1,614.79,0.0,614.79,73.77,541.02,281.04,0,,
2022-000144,18/07/2022 06:43,S1030,C00762,P2091,Web,Tarjeta,2x1,1,514.42,0.05,514.42,77.16,437.26,397.11,0,,
2022-000145,23/07/2022 02:38,S1012,C00506,P2074,Call Center,Efectivo,Promo 10%,5,253.14,0.1,1265.7,151.88,1113.82,138.92,0,,
2022-000146,13/07/2022 22:13,S1022,C00620,P2078,Web,Billetera Digital,Cyber Week,6,149.09,0.1,894.54,134.18,760.36,125.47,0,,
2022-000147,08/10/2022 09:01,S1037,C00124,P2151,Call Center,Financiamiento,Black Friday,1,196.94,0.2,196.94,25.6,171.34,116.51,0,,
2022-000148,26/08/2022 18:02,S1014,C00328,P2114,Marketplace,Financiamiento,Sin Promo,2,554.0,0.0,1108.0,132.96,975.04,274.57,0,,
2022-000149,04/03/2022 08:59,S1006,C00025,P2072,Tienda,Billetera Digital,Promo 15%,1,604.62,0.0,604.62,78.6,526.02,420.23,0,,
2022-000150,07/05/2022 03:28,S1039,C00621,P2072,Web,Billetera Digital,Sin Promo,1,544.16,0.1,544.16,70.74,473.42,420.23,0,,
2022-000151,06/03/2022 14:39,S1042,C00439,P2145,Tienda,Transferencia,Promo 15%,1,118.01,0.0,118.01,15.34,102.67,77.61,0,,
2022-000152,01/12/2022 23:57,S1014,C00787,P2099,Web,Billetera Digital,Cyber Week,2,279.84,0.05,559.68,67.16,492.52,231.19,1,,
2022-000153,04/02/2022 11:06,S1045,C00008,P2045,Web,Tarjeta,Promo 15%,3,58.57,0.15,175.71,22.84,152.87,46.07,1,,
2022-000154,16/10/2022 02:34,S1035,C00702,P2113,Tienda,Efectivo,Black Friday,1,297.65,0.0,297.65,44.65,253.0,139.53,0,,
2022-000155,11/09/2022 11:42,S1031,C00745,P2131,Call Center,Efectivo,Sin Promo,1,167.39,0.15,167.39,25.11,142.28,119.6,0,,
2022-000156,10/11/2022 19:39,S1017,C00172,P2139,Call Center,Transferencia,Promo 10%,2,20.28,0.0,40.56,4.87,35.69,12.71,1,,
2022-000157,08/12/2022 04:55,S1043,C00233,P2026,Marketplace,Billetera Digital,Cyber Week,1,459.92,0.0,459.92,59.79,400.13,230.43,1,,
2022-000158,19/03/2022 02:01,S1026,C00392,P2056,Marketplace,Efectivo,Sin Promo,2,886.94,0.0,1773.88,266.08,1507.8,417.23,0,,
2022-000159,06/09/2022 15:31,S1044,C00177,P2035,Tienda,Billetera Digital,Promo 15%,2,725.28,0.2,1450.56,188.57,1261.99,418.3,0,,
2022-000160,14/11/2022 14:35,S1014,C00708,P2027,Tienda,Transferencia,2x1,1,298.56,0.1,298.56,35.83,262.73,230.42,0,,
2022-000161,09/03/2022 00:09,S1015,C00595,P2080,Marketplace,Efectivo,Cyber Week,1,256.52,0.15,256.52,30.78,225.74,221.89,0,,
2022-000162,18/08/2022 22:24,S1027,C00632,P2064,Call Center,Billetera Digital,Promo 15%,1,91.31,0.0,91.31,13.7,77.61,57.47,0,,
2022-000163,20/03/2022 23:43,S1007,C00063,P2006,Marketplace,Tarjeta,Promo 15%,4,341.71,0.15,1366.84,177.69,1189.15,287.52,0,,
2022-000164,07/06/2022 17:52,S1025,C00619,P2016,Web,Transferencia,Promo 10%,1,146.7,0.15,146.7,22.0,124.7,121.18,0,,
2022-000165,03/12/2022 07:04,S1025,C00498,P2041,Marketplace,Financiamiento,Sin Promo,2,41.87,0.1,83.74,12.56,71.18,34.06,0,,
2022-000166,27/01/2022 18:03,S1037,C00582,P2037,Web,Tarjeta,2x1,2,623.8,0.0,1247.6,162.19,1085.41,405.23,0,,
2022-000167,01/02/2022 08:13,S1044,C00604,P2075,Web,Tarjeta,Promo 10%,1,464.04,0.2,464.04,60.33,403.71,301.87,1,,
2022-000168,20/06/2022 22:38,S1024,C00170,P2086,Tienda,Billetera Digital,Promo 10%,3,98.28,0.1,294.84,44.23,250.61,70.05,0,,
2022-000169,05/09/2022 07:02,S1009,C00188,P2134,Web,Transferencia,Cyber Week,1,241.56,0.0,241.56,31.4,210.16,153.79,0,,
2022-000170,31/05/2022 11:18,S1039,C00650,P2132,Marketplace,Billetera Digital,Black Friday,1,305.53,0.05,305.53,39.72,265.81,220.13,0,,
2022-000171,19/05/2022 17:57,S1012,C00636,P2139,Call Center,Efectivo,Promo 10%,2,19.27,0.05,38.54,4.62,33.92,12.71,0,Revisar,
2022-000172,03/02/2022 00:11,S1005,C00573,P2137,Call Center,Transferencia,Sin Promo,2,407.3,0.05,814.6,105.9,708.7,246.0,0,,
2022-000173,06/02/2022 17:09,S1023,C00565,P2026,Marketplace,Tarjeta,2x1,2,390.93,0.15,781.86,117.28,664.58,230.43,1,,
2022-000174,03/05/2022 23:56,S1033,C00273,P2027,Marketplace,Tarjeta,Promo 15%,1,298.56,0.1,298.56,44.78,253.78,230.42,0,,
2022-000175,16/07/2022 07:00,S1012,C00462,P2066,Tienda,Billetera Digital,Promo 15%,5,524.71,0.0,2623.55,314.83,2308.72,297.19,0,,
2022-000176,01/01/2022 12:32,S1001,C00751,P2144,Tienda,Tarjeta,Promo 15%,1,231.62,0.15,231.62,30.11,201.51,177.43,0,,
