REPORTE,TRANSACTIONID,DATE,STOREID,CUSTOMERID,PRODUCTID,CHANNEL,PAYMENTMETHOD,PROMOTION,QUANTITY,UNITPRICE,DISCOUNTPCT,GROSSSALES,TAXAMOUNT,NETSALES,UNITCOST,RETURNFLAG
RETAILMAX S.A. - VENTAS 2021,2021-000020,2021-05-12 19:35:04,S1028,C00769,P2096,Marketplace,Financiamiento,2x1,3,572.4,0.1,1717.2,257.58,1459.62,369.96,0
RETAILMAX S.A. - VENTAS 2021,2021-000021,2021-09-05 08:51:26,S1010,C00597,P2012,Call Center,Financiamiento,Black Friday,3,630.66,0.2,1891.98,227.04,1664.94,363.05,0
RETAILMAX S.A. - VENTAS 2021,2021-000022,2021-09-04 04:13:59,S1030,C00566,P2080,Web,Efectivo,Promo 15%,1,286.7,0.05,286.7,43.0,243.7,221.89,0
RETAILMAX S.A. - VENTAS 2021,2021-000023,2021-06-30 18:48:19,S1030,C00380,P2148,Marketplace,Efectivo,Promo 15%,2,573.59,0.15,1147.18,172.08,975.1,390.62,0
RETAILMAX S.A. - VENTAS 2021,2021-000024,2021-07-24 12:27:05,S1021,C00277,P2109,Call Center,Transferencia,Promo 15%,1,208.28,0.0,208.28,31.24,177.04,141.94,0
RETAILMAX S.A. - VENTAS 2021,2021-000025,2021-10-21 09:47:48,S1043,C00228,P2121,Web,Financiamiento,Cyber Week,1,355.11,0.15,355.11,46.16,308.95,207.12,0
RETAILMAX S.A. - VENTAS 2021,2021-000026,2021-05-01 08:48:46,S1023,C00122,P2067,Web,Efectivo,Promo 10%,4,582.45,0.0,2329.8,349.47,1980.33,420.88,0
RETAILMAX S.A. - VENTAS 2021,2021-000027,2021-07-02 05:40:46,S1035,C00591,P2022,Tienda,Financiamiento,Black Friday,3,449.93,0.0,1349.79,202.47,1147.32,325.44,0
RETAILMAX S.A. - VENTAS 2021,2021-000028,2021-10-05 01:32:19,S1011,C00703,P2112,Marketplace,Financiamiento,Black Friday,3,361.76,0.0,1085.28,130.23,955.05,257.82,0
RETAILMAX S.A. - VENTAS 2021,2021-000029,2021-09-09 06:39:29,S1040,C00405,P2113,Marketplace,Financiamiento,Promo 10%,6,267.88,0.1,1607.28,208.95,1398.33,139.53,0
RETAILMAX S.A. - VENTAS 2021,2021-000030,2021-03-07 01:58:17,S1025,C00510,P2032,Call Center,Billetera Digital,Sin Promo,2,443.24,0.05,886.48,132.97,753.51,330.43,0
RETAILMAX S.A. - VENTAS 2021,2021-000031,2021-06-27 14:20:05,S1019,C00040,P2106,Web,Financiamiento,Sin Promo,4,369.14,0.2,1476.56,221.48,1255.08,310.34,1
RETAILMAX S.A. - VENTAS 2021,2021-000032,2021-09-23 16:45:02,S1026,C00287,P2073,Tienda,Efectivo,2x1,1,164.56,0.0,164.56,24.68,139.88,131.1,0
RETAILMAX S.A. - VENTAS 2021,2021-000033,2021-02-21 11:50:55,S1018,C00676,P2032,Marketplace,Efectivo,Black Friday,1,373.26,0.2,373.26,44.79,328.47,330.43,0
RETAILMAX S.A. - VENTAS 2021,2021-000034,2021-05-02 09:48:31,S1006,C00331,P2076,Marketplace,Transferencia,Promo 10%,2,87.77,0.1,175.54,22.82,152.72,50.2,0
RETAILMAX S.A. - VENTAS 2021,2021-000035,2021-08-06 07:39:54,S1022,C00774,P2097,Marketplace,Transferencia,2x1,1,416.9,0.2,416.9,62.53,354.37,298.37,0
RETAILMAX S.A. - VENTAS 2021,2021-000036,2021-08-19 06:32:58,S1018,C00326,P2053,Web,Tarjeta,Cyber Week,2,841.05,0.1,1682.1,201.85,1480.25,436.17,0
RETAILMAX S.A. - VENTAS 2021,2021-000037,2021-05-01 20:13:09,S1035,C00707,P2139,Web,Efectivo,Cyber Week,2,19.27,0.05,38.54,5.78,32.76,12.71,0
RETAILMAX S.A. - VENTAS 2021,2021-000038,2021-08-31 00:21:16,S1038,C00795,P2022,Web,Billetera Digital,Black Friday,1,427.43,0.05,427.43,55.57,371.86,325.44,1
RETAILMAX S.A. - VENTAS 2021,2021-000039,2021-06-11 17:43:02,S1032,C00633,P2125,Tienda,Financiamiento,Sin Promo,1,310.19,0.1,310.19,46.53,263.66,235.01,1
RETAILMAX S.A. - VENTAS 2021,2021-000040,2021-03-25 02:11:09,S1011,C00035,P2066,Call Center,Tarjeta,2x1,1,524.71,0.0,524.71,62.97,461.74,297.19,1
RETAILMAX S.A. - VENTAS 2021,2021-000041,2021-06-21 09:27:28,S1027,C00502,P2064,Marketplace,Transferencia,Sin Promo,1,82.18,0.1,82.18,12.33,69.85,57.47,0
RETAILMAX S.A. - VENTAS 2021,2021-000042,2021-03-04 12:46:58,S1004,C00252,P2087,Web,Billetera Digital,Black Friday,4,291.4,0.1,1165.6,151.53,1014.07,166.63,1
RETAILMAX S.A. - VENTAS 2021,2021-000043,2021-11-29 19:36:14,S1034,C00566,P2006,Marketplace,Transferencia,Promo 15%,1,321.61,0.2,321.61,48.24,273.37,287.52,1
RETAILMAX S.A. - VENTAS 2021,2021-000044,2021-09-19 17:44:56,S1004,C00128,P2082,Tienda,Financiamiento,Black Friday,3,267.35,0.05,802.05,104.27,697.78,152.77,0
RETAILMAX S.A. - VENTAS 2021,2021-000045,2021-08-26 22:59:59,S1038,C00069,P2153,Web,Transferencia,2x1,5,326.33,0.2,1631.65,212.11,1419.54,293.96,1
RETAILMAX S.A. - VENTAS 2021,2021-000046,2021-11-10 20:48:45,S1044,C00799,P2048,Tienda,Efectivo,Promo 15%,1,320.16,0.0,320.16,41.62,278.54,183.57,0
RETAILMAX S.A. - VENTAS 2021,2021-000047,2021-06-10 11:32:13,S1039,C00235,P2104,Marketplace,Billetera Digital,Cyber Week,2,596.9,0.15,1193.8,155.19,1038.61,405.18,0
RETAILMAX S.A. - VENTAS 2021,2021-000048,2021-05-19 16:11:53,S1044,C00320,P2091,Call Center,Financiamiento,Promo 10%,3,541.5,0.0,1624.5,211.19,1413.31,397.11,0
RETAILMAX S.A. - VENTAS 2021,2021-000049,2021-01-12 04:33:09,S1001,C00197,P2015,Marketplace,Tarjeta,Promo 10%,3,147.7,0.15,443.1,57.6,385.5,122.14,0
RETAILMAX S.A. - VENTAS 2021,2021-000050,2021-07-23 03:45:01,S1007,C00487,P2074,Tienda,Tarjeta,2x1,1,267.21,0.05,267.21,34.74,232.47,138.92,0
RETAILMAX S.A. - VENTAS 2021,2021-000051,2021-02-12 03:47:02,S1041,C00458,P2082,Tienda,Financiamiento,Promo 15%,1,281.42,0.0,281.42,36.58,244.84,152.77,0
RETAILMAX S.A. - VENTAS 2021,2021-000052,2021-05-07 10:20:47,S1012,C00467,P2078,Web,Billetera Digital,Promo 10%,2,165.66,0.0,331.32,39.76,291.56,125.47,0
RETAILMAX S.A. - VENTAS 2021,2021-000053,2021-01-18 12:59:31,S1021,C00093,P2122,Call Center,Financiamiento,Black Friday,4,681.62,0.0,2726.48,408.97,2317.51,324.38,0
RETAILMAX S.A. - VENTAS 2021,2021-000054,2021-10-08 16:11:46,S1045,C00026,P2086,Web,Billetera Digital,Black Friday,1,92.82,0.15,92.82,12.07,80.75,70.05,0
RETAILMAX S.A. - VENTAS 2021,2021-000055,2021-11-20 23:09:02,S1034,C00072,P2148,Marketplace,Transferencia,2x1,4,641.07,0.05,2564.28,384.64,2179.64,390.62,0
RETAILMAX S.A. - VENTAS 2021,2021-000056,2021-04-27 03:15:38,S1017,C00734,P2114,Call Center,Transferencia,Promo 10%,2,554.0,0.0,1108.0,132.96,975.04,274.57,0
RETAILMAX S.A. - VENTAS 2021,2021-000057,2021-01-06 00:00:12,S1007,C00266,P2044,Web,Transferencia,Promo 15%,2,363.26,0.2,726.52,94.45,632.07,214.81,0
RETAILMAX S.A. - VENTAS 2021,2021-000058,2021-10-01 00:18:10,S1016,C00641,P2017,Call Center,Transferencia,Sin Promo,2,266.29,0.05,532.58,63.91,468.67,182.13,0
RETAILMAX S.A. - VENTAS 2021,2021-000059,2021-05-30 21:44:10,S1019,C00528,P2157,Marketplace,Efectivo,2x1,1,223.38,0.0,223.38,33.51,189.87,118.28,0
RETAILMAX S.A. - VENTAS 2021,2021-000060,2021-08-12 14:22:20,S1020,C00304,P2014,Call Center,Financiamiento,Promo 10%,1,365.66,0.15,365.66,54.85,310.81,296.33,0
RETAILMAX S.A. - VENTAS 2021,2021-000061,2021-02-10 15:22:23,S1005,C00337,P2128,Marketplace,Transferencia,Cyber Week,2,501.65,0.1,1003.3,130.43,872.87,269.57,1
RETAILMAX S.A. - VENTAS 2021,2021-000062,2021-09-30 09:47:15,S1030,C00167,P2097,Tienda,Efectivo,Promo 10%,1,416.9,0.2,416.9,62.53,354.37,298.37,0
RETAILMAX S.A. - VENTAS 2021,2021-000063,2021-02-26 23:11:18,S1031,C00577,P2056,Marketplace,Billetera Digital,2x1,2,842.59,0.05,1685.18,252.78,1432.4,417.23,0
RETAILMAX S.A. - VENTAS 2021,2021-000064,2021-06-14 00:42:22,S1037,C00632,P2009,Tienda,Efectivo,Sin Promo,1,470.71,0.1,470.71,61.19,409.52,287.2,0
RETAILMAX S.A. - VENTAS 2021,2021-000065,2021-05-18 04:33:09,S1006,C00052,P2017,Tienda,Efectivo,Sin Promo,3,238.25,0.15,714.75,92.92,621.83,182.13,0
RETAILMAX S.A. - VENTAS 2021,2021-000066,2021-01-08 17:58:14,S1024,C00361,P2115,Marketplace,Financiamiento,Promo 15%,1,353.94,0.05,353.94,53.09,300.85,201.2,0
RETAILMAX S.A. - VENTAS 2021,2021-000067,2021-12-23 01:09:19,S1025,C00008,P2012,Web,Tarjeta,Promo 15%,1,630.66,0.2,630.66,94.6,536.06,363.05,0
RETAILMAX S.A. - VENTAS 2021,2021-000068,2021-02-06 19:46:37,S1034,C00094,P2032,Marketplace,Financiamiento,Sin Promo,2,466.57,0.0,933.14,139.97,793.17,330.43,0
RETAILMAX S.A. - VENTAS 2021,2021-000069,2021-05-08 14:00:36,S1010,C00611,P2008,Web,Tarjeta,Promo 10%,3,830.52,0.05,2491.56,298.99,2192.57,421.75,0
RETAILMAX S.A. - VENTAS 2021,2021-000070,2021-02-18 18:58:26,S1028,C00719,P2011,Call Center,Financiamiento,Cyber Week,2,392.72,0.0,785.44,117.82,667.62,309.34,0
RETAILMAX S.A. - VENTAS 2021,2021-000071,2021-06-15 05:46:29,S1026,C00771,P2012,Tienda,Transferencia,2x1,2,788.33,0.0,1576.66,236.5,1340.16,363.05,1
RETAILMAX S.A. - VENTAS 2021,2021-000072,2021-06-02 07:14:07,S1038,C00118,P2019,Web,Tarjeta,Promo 10%,1,471.27,0.0,471.27,61.27,410.0,283.84,1
RETAILMAX S.A. - VENTAS 2021,2021-000073,2021-08-11 11:48:54,S1031,C00600,P2117,Marketplace,Billetera Digital,Sin Promo,1,67.36,0.2,67.36,10.1,57.26,41.82,0
RETAILMAX S.A. - VENTAS 2021,2021-000074,2021-05-05 00:19:30,S1006,C00037,P2147,Call Center,Billetera Digital,Promo 10%,5,493.36,0.1,2466.8,320.68,2146.12,299.7,0
RETAILMAX S.A. - VENTAS 2021,2021-000075,2021-02-15 09:03:20,S1029,C00409,P2119,Marketplace,Tarjeta,Sin Promo,1,763.08,0.0,763.08,114.46,648.62,363.73,0
RETAILMAX S.A. - VENTAS 2021,2021-000076,2021-11-27 05:36:14,S1003,C00444,P2068,Tienda,Efectivo,2x1,3,197.12,0.2,591.36,76.88,514.48,122.46,0
RETAILMAX S.A. - VENTAS 2021,2021-000077,2021-06-12 20:19:44,S1012,C00153,P2035,Marketplace,Financiamiento,Cyber Week,3,725.28,0.2,2175.84,261.1,1914.74,418.3,0
RETAILMAX S.A. - VENTAS 2021,2021-000078,2021-01-11 13:45:14,S1007,C00591,P2007,Marketplace,Tarjeta,2x1,1,212.03,0.0,212.03,27.56,184.47,162.45,1
RETAILMAX S.A. - VENTAS 2021,2021-000079,2021-08-13 20:21:12,S1001,C00001,P2121,Call Center,Efectivo,Black Friday,1,355.11,0.15,355.11,46.16,308.95,207.12,0
RETAILMAX S.A. - VENTAS 2021,2021-000080,2021-10-06 12:39:29,S1007,C00606,P2021,Marketplace,Billetera Digital,Black Friday,1,417.5,0.05,417.5,54.27,363.23,239.98,0
RETAILMAX S.A. - VENTAS 2021,2021-000081,2021-02-05 19:20:17,S1038,C00500,P2039,Marketplace,Billetera Digital,Promo 15%,1,477.0,0.0,477.0,62.01,414.99,251.05,0
RETAILMAX S.A. - VENTAS 2021,2021-000082,2021-01-01 23:13:47,S1034,C00408,P2060,Web,Tarjeta,Black Friday,2,325.76,0.15,651.52,97.73,553.79,245.82,0
RETAILMAX S.A. - VENTAS 2021,2021-000083,2021-11-14 08:41:38,S1040,C00013,P2061,Call Center,Efectivo,Black Friday,1,42.68,0.0,42.68,5.55,37.13,26.36,1
RETAILMAX S.A. - VENTAS 2021,2021-000084,2021-09-12 20:04:41,S1032,C00735,P2058,Marketplace,Financiamiento,Cyber Week,1,465.91,0.0,465.91,69.89,396.02,324.41,0
RETAILMAX S.A. - VENTAS 2021,2021-000085,2021-02-26 03:30:16,S1038,C00285,P2137,Tienda,Efectivo,Promo 10%,2,428.74,0.0,857.48,111.47,746.01,246.0,0
RETAILMAX S.A. - VENTAS 2021,2021-000086,2021-04-14 03:53:51,S1016,C00199,P2143,Tienda,Billetera Digital,Cyber Week,2,175.44,0.0,350.88,42.11,308.77,101.86,0
RETAILMAX S.A. - VENTAS 2021,2021-000087,2021-12-03 17:50:13,S1004,C00353,P2143,Marketplace,Tarjeta,Promo 15%,2,149.12,0.15,298.24,38.77,259.47,101.86,0
RETAILMAX S.A. - VENTAS 2021,2021-000088,2021-11-07 02:34:49,S1006,C00035,P2070,Call Center,Tarjeta,2x1,1,614.79,0.0,614.79,79.92,534.87,281.04,1
RETAILMAX S.A. - VENTAS 2021,2021-000089,2021-02-01 13:08:27,S1003,C00091,P2101,Marketplace,Tarjeta,Black Friday,2,319.7,0.05,639.4,83.12,556.28,262.94,0
RETAILMAX S.A. - VENTAS 2021,2021-000090,2021-09-28 01:28:48,S1010,C00515,P2107,Marketplace,Tarjeta,Promo 10%,3,257.6,0.2,772.8,92.74,680.06,196.36,0
RETAILMAX S.A. - VENTAS 2021,2021-000091,2021-02-19 03:41:07,S1012,C00010,P2151,Call Center,Efectivo,Promo 10%,3,221.55,0.1,664.65,79.76,584.89,116.51,0
RETAILMAX S.A. - VENTAS 2021,2021-000092,2021-12-03 09:03:25,S1017,C00481,P2108,Call Center,Tarjeta,Cyber Week,2,283.38,0.0,566.76,68.01,498.75,144.01,0
RETAILMAX S.A. - VENTAS 2021,2021-000093,2021-07-03 16:42:05,S1017,C00069,P2136,Tienda,Efectivo,Promo 10%,3,147.06,0.05,441.18,52.94,388.24,99.42,0
RETAILMAX S.A. - VENTAS 2021,2021-000094,2021-07-25 18:22:31,S1019,C00241,P2095,Call Center,Transferencia,Promo 15%,1,729.93,0.0,729.93,109.49,620.44,368.2,0
RETAILMAX S.A. - VENTAS 2021,2021-000095,2021-06-16 13:32:02,S1042,C00610,P2158,Call Center,Transferencia,Black Friday,1,461.03,0.15,461.03,59.93,401.1,274.83,0
RETAILMAX S.A. - VENTAS 2021,2021-000096,2021-10-16 19:51:56,S1001,C00759,P2070,Marketplace,Transferencia,2x1,1,491.83,0.2,491.83,63.94,427.89,281.04,0
RETAILMAX S.A. - VENTAS 2021,2021-000097,2021-07-23 00:00:25,S1019,C00486,P2022,Tienda,Billetera Digital,Promo 10%,3,449.93,0.0,1349.79,202.47,1147.32,325.44,0
RETAILMAX S.A. - VENTAS 2021,2021-000098,2021-01-04 10:56:05,S1008,C00034,P2091,Marketplace,Tarjeta,Cyber Week,6,541.5,0.0,3249.0,422.37,2826.63,397.11,0
RETAILMAX S.A. - VENTAS 2021,2021-000099,2021-10-11 18:36:53,S1016,C00573,P2147,Web,Tarjeta,Sin Promo,2,493.36,0.1,986.72,118.41,868.31,299.7,0
RETAILMAX S.A. - VENTAS 2021,2021-000100,2021-07-02 05:41:01,S1010,C00319,P2105,Web,Efectivo,Promo 15%,1,676.15,0.0,676.15,81.14,595.01,320.12,0
RETAILMAX S.A. - VENTAS 2021,2021-000101,2021-02-17 20:46:14,S1045,C00022,P2153,Tienda,Transferencia,2x1,1,407.91,0.0,407.91,53.03,354.88,293.96,0
RETAILMAX S.A. - VENTAS 2021,2021-000102,2021-09-07 20:58:47,S1018,C00162,P2106,Marketplace,Tarjeta,Cyber Week,3,461.42,0.0,1384.26,166.11,1218.15,310.34,0
RETAILMAX S.A. - VENTAS 2021,2021-000103,2021-07-15 02:51:26,S1003,C00592,P2148,Marketplace,Transferencia,2x1,3,539.85,0.2,1619.55,210.54,1409.01,390.62,0
RETAILMAX S.A. - VENTAS 2021,2021-000104,2021-03-03 08:15:16,S1008,C00160,P2095,Tienda,Financiamiento,Sin Promo,3,583.94,0.2,1751.82,227.74,1524.08,368.2,0
RETAILMAX S.A. - VENTAS 2021,2021-000105,2021-09-26 01:29:57,S1022,C00711,P2038,Web,Transferencia,Black Friday,1,125.95,0.1,125.95,18.89,107.06,104.22,1
RETAILMAX S.A. - VENTAS 2021,2021-000106,2021-04-24 05:34:39,S1012,C00284,P2080,Call Center,Financiamiento,Black Friday,1,256.52,0.15,256.52,30.78,225.74,221.89,0
RETAILMAX S.A. - VENTAS 2021,2021-000107,2021-09-16 03:16:47,S1015,C00707,P2153,Call Center,Efectivo,Promo 10%,1,407.91,0.0,407.91,48.95,358.96,293.96,0
RETAILMAX S.A. - VENTAS 2021,2021-000108,2021-02-12 17:19:31,S1034,C00439,P2098,Call Center,Transferencia,Sin Promo,2,645.08,0.0,1290.16,193.52,1096.64,389.5,0
RETAILMAX S.A. - VENTAS 2021,2021-000109,2021-09-14 15:49:09,S1037,C00363,P2125,Web,Financiamiento,Black Friday,3,344.65,0.0,1033.95,134.41,899.54,235.01,0
RETAILMAX S.A. - VENTAS 2021,2021-000110,2021-09-07 14:23:35,S1028,C00425,P2026,Web,Efectivo,Sin Promo,2,459.92,0.0,919.84,137.98,781.86,230.43,0
RETAILMAX S.A. - VENTAS 2021,2021-000111,2021-08-09 11:46:30,S1011,C00153,P2047,Tienda,Tarjeta,Cyber Week,2,411.11,0.1,822.22,98.67,723.55,295.44,0
RETAILMAX S.A. - VENTAS 2021,2021-000112,2021-08-05 13:17:56,S1021,C00498,P2057,Marketplace,Billetera Digital,Cyber Week,1,419.8,0.0,419.8,62.97,356.83,314.68,0
RETAILMAX S.A. - VENTAS 2021,2021-000113,2021-06-06 06:09:44,S1006,C00680,P2020,Call Center,Billetera Digital,Promo 10%,6,44.42,0.1,266.52,34.65,231.87,32.33,0
RETAILMAX S.A. - VENTAS 2021,2021-000114,2021-01-23 08:30:03,S1036,C00471,P2137,Web,Tarjeta,Sin Promo,1,428.74,0.0,428.74,64.31,364.43,246.0,1
RETAILMAX S.A. - VENTAS 2021,2021-000115,2021-01-28 08:50:56,S1038,C00294,P2034,Marketplace,Tarjeta,Promo 15%,5,262.95,0.0,1314.75,170.92,1143.83,122.22,1
RETAILMAX S.A. - VENTAS 2021,2021-000116,2021-02-26 11:06:32,S1003,C00003,P2050,Marketplace,Efectivo,Cyber Week,2,273.95,0.0,547.9,71.23,476.67,192.16,0
RETAILMAX S.A. - VENTAS 2021,2021-000117,2021-04-19 07:25:12,S1007,C00746,P2159,Marketplace,Billetera Digital,2x1,2,512.7,0.2,1025.4,133.3,892.1,434.27,0
RETAILMAX S.A. - VENTAS 2021,2021-000118,2021-03-14 00:40:10,S1023,C00731,P2089,Tienda,Transferencia,Promo 10%,1,626.06,0.15,626.06,93.91,532.15,351.93,0
RETAILMAX S.A. - VENTAS 2021,2021-000119,2021-05-26 07:18:25,S1034,C00251,P2100,Marketplace,Tarjeta,2x1,3,514.77,0.1,1544.31,231.65,1312.66,422.9,1
RETAILMAX S.A. - VENTAS 2021,2021-000120,2021-01-05 02:25:29,S1024,C00520,P2019,Marketplace,Tarjeta,Sin Promo,1,471.27,0.0,471.27,70.69,400.58,283.84,0
RETAILMAX S.A. - VENTAS 2021,2021-000121,2021-11-29 14:04:22,S1044,C00327,P2027,Tienda,Transferencia,2x1,1,315.14,0.05,315.14,40.97,274.17,230.42,0
RETAILMAX S.A. - VENTAS 2021,2021-000122,2021-09-30 03:12:17,S1042,C00549,P2139,Call Center,Billetera Digital,Cyber Week,1,18.25,0.1,18.25,2.37,15.88,12.71,0
RETAILMAX S.A. - VENTAS 2021,2021-000123,2021-01-21 09:00:26,S1033,C00794,P2136,Marketplace,Financiamiento,2x1,4,154.8,0.0,619.2,92.88,526.32,99.42,1
RETAILMAX S.A. - VENTAS 2021,2021-000124,2021-03-22 00:40:08,S1026,C00403,P2090,Marketplace,Transferencia,Promo 10%,1,123.88,0.0,123.88,18.58,105.3,72.93,0
RETAILMAX S.A. - VENTAS 2021,2021-000125,2021-05-22 02:15:27,S1009,C00136,P2030,Tienda,Billetera Digital,Promo 15%,2,514.37,0.05,1028.74,133.74,895.0,418.38,0
RETAILMAX S.A. - VENTAS 2021,2021-000126,2021-03-19 12:26:38,S1040,C00643,P2013,Web,Tarjeta,Cyber Week,4,170.17,0.15,680.68,88.49,592.19,98.1,0
RETAILMAX S.A. - VENTAS 2021,2021-000127,2021-09-24 22:17:54,S1028,C00572,P2006,Web,Financiamiento,Promo 10%,4,341.71,0.15,1366.84,205.03,1161.81,287.52,0
RETAILMAX S.A. - VENTAS 2021,2021-000128,2021-03-20 15:31:37,S1028,C00747,P2036,Marketplace,Financiamiento,Black Friday,5,259.77,0.1,1298.85,194.83,1104.02,143.03,0
RETAILMAX S.A. - VENTAS 2021,2021-000129,2021-04-16 23:45:20,S1025,C00702,P2022,Web,Efectivo,Promo 15%,1,404.94,0.1,404.94,60.74,344.2,325.44,1
RETAILMAX S.A. - VENTAS 2021,2021-000130,2021-12-28 19:04:16,S1004,C00436,P2005,Web,Billetera Digital,Promo 10%,4,518.63,0.05,2074.52,269.69,1804.83,390.45,0
RETAILMAX S.A. - VENTAS 2021,2021-000131,2021-02-04 20:17:31,S1043,C00564,P2139,Tienda,Efectivo,Promo 15%,2,17.24,0.15,34.48,4.48,30.0,12.71,0
RETAILMAX S.A. - VENTAS 2021,2021-000132,2021-01-16 11:36:11,S1044,C00710,P2092,Call Center,Transferencia,2x1,4,762.37,0.05,3049.48,396.43,2653.05,416.32,1
RETAILMAX S.A. - VENTAS 2021,2021-000133,2021-11-23 09:58:07,S1022,C00244,P2052,Tienda,Efectivo,Promo 10%,1,94.69,0.0,94.69,14.2,80.49,47.67,0
RETAILMAX S.A. - VENTAS 2021,2021-000134,2021-11-10 22:27:44,S1002,C00449,P2123,Web,Billetera Digital,Promo 10%,1,157.6,0.1,157.6,20.49,137.11,112.82,0
RETAILMAX S.A. - VENTAS 2021,2021-000135,2021-12-18 00:56:58,S1020,C00164,P2047,Call Center,Efectivo,Black Friday,1,388.27,0.15,388.27,58.24,330.03,295.44,0
RETAILMAX S.A. - VENTAS 2021,2021-000136,2021-08-29 23:39:00,S1034,C00057,P2089,Call Center,Financiamiento,2x1,1,589.23,0.2,589.23,88.38,500.85,351.93,0
RETAILMAX S.A. - VENTAS 2021,2021-000137,2021-03-25 07:02:10,S1028,C00610,P2124,Tienda,Transferencia,2x1,1,451.91,0.05,451.91,67.79,384.12,351.18,0
RETAILMAX S.A. - VENTAS 2021,2021-000138,2021-12-10 07:23:05,S1007,C00794,P2096,Web,Financiamiento,Black Friday,3,636.0,0.0,1908.0,248.04,1659.96,369.96,0
