TransactionID,Date,StoreID,CustomerID,ProductID,Channel,PaymentMethod,Promotion,Quantity,UnitPrice,DiscountPct,GrossSales,TaxAmount,NetSales,UnitCost,ReturnFlag
2025-000051,2025-08-12 18:09:40,S1004,C00079,P2003,Tienda,Tarjeta,Cyber Week,1,508.72,0.0,508.72,66.13,442.59,261.5,0
2025-000052,2025-08-02 01:24:58,S1005,C00153,P2019,Tienda,Transferencia,Promo 15%,1,471.27,0.0,471.27,61.27,410.0,283.84,1
2025-000053,2025-07-25 11:36:40,S1012,C00681,P2160,Call Center,Billetera Digital,Sin Promo,1,731.0,0.1,731.0,87.72,643.28,418.28,1
2025-000054,2025-07-20 12:25:40,S1043,C00719,P2101,Web,Tarjeta,Promo 15%,1,319.7,0.05,319.7,41.56,278.14,262.94,0
2025-000055,2025-09-26 02:46:55,S1002,C00676,P2134,Web,Tarjeta,Promo 15%,5,241.56,0.0,1207.8,157.01,1050.79,153.79,0
2025-000056,2025-06-21 15:18:54,S1043,C00743,P2125,Marketplace,Financiamiento,Cyber Week,1,344.65,0.0,344.65,44.8,299.85,235.01,0
2025-000057,2025-03-18 01:46:31,S1039,C00085,P2042,Marketplace,Tarjeta,Cyber Week,1,401.39,0.0,401.39,52.18,349.21,233.31,0
2025-000058,2025-01-23 09:28:55,S1009,C00005,P2042,Marketplace,Transferencia,Promo 10%,1,361.25,0.1,361.25,46.96,314.29,233.31,0
2025-000059,2025-06-21 06:38:14,S1028,C00314,P2143,Web,Efectivo,Promo 10%,1,175.44,0.0,175.44,26.32,149.12,101.86,0
2025-000060,2025-03-25 20:02:50,S1044,C00378,P2073,Web,Billetera Digital,2x1,1,156.33,0.05,156.33,20.32,136.01,131.1,0
2025-000061,2025-07-23 02:20:17,S1013,C00053,P2143,Tienda,Tarjeta,2x1,1,175.44,0.0,175.44,21.05,154.39,101.86,0
2025-000062,2025-06-09 12:31:57,S1040,C00070,P2085,Marketplace,Transferencia,Black Friday,5,27.92,0.1,139.6,18.15,121.45,20.07,0
2025-000063,2025-02-15 13:05:28,S1045,C00744,P2093,Marketplace,Financiamiento,Sin Promo,4,133.16,0.1,532.64,69.24,463.4,75.0,0
2025-000064,2025-06-15 17:07:26,S1022,C00589,P2045,Call Center,Billetera Digital,Black Friday,1,55.13,0.2,55.13,8.27,46.86,46.07,0
2025-000065,2025-01-03 05:40:06,S1040,C00530,P2089,Call Center,Financiamiento,Cyber Week,3,626.06,0.15,1878.18,244.16,1634.02,351.93,0
2025-000066,2025-06-10 10:07:41,S1020,C00775,P2016,Marketplace,Efectivo,Black Friday,1,155.33,0.1,155.33,23.3,132.03,121.18,0
2025-000067,2025-06-15 07:18:56,S1038,C00132,P2104,Web,Efectivo,2x1,3,702.23,0.0,2106.69,273.87,1832.82,405.18,0
2025-000068,2025-11-28 18:22:55,S1015,C00480,P2029,Call Center,Billetera Digital,Black Friday,2,466.92,0.05,933.84,112.06,821.78,271.13,0
2025-000069,2025-06-29 00:27:58,S1001,C00502,P2148,Marketplace,Tarjeta,Sin Promo,3,607.33,0.1,1821.99,236.86,1585.13,390.62,0
2025-000070,2025-11-04 22:35:05,S1039,C00229,P2040,Call Center,Financiamiento,2x1,6,59.49,0.0,356.94,46.4,310.54,35.66,0
2025-000071,2025-10-04 05:03:53,S1006,C00365,P2031,Call Center,Efectivo,2x1,4,203.6,0.0,814.4,105.87,708.53,111.43,0
2025-000072,2025-07-10 19:48:25,S1017,C00766,P2107,Web,Billetera Digital,Sin Promo,2,322.0,0.0,644.0,77.28,566.72,196.36,1
2025-000073,2025-06-23 19:01:18,S1012,C00404,P2135,Tienda,Transferencia,Sin Promo,2,137.64,0.1,275.28,33.03,242.25,71.27,0
2025-000074,2025-01-02 20:41:15,S1029,C00523,P2034,Web,Financiamiento,Sin Promo,3,223.51,0.15,670.53,100.58,569.95,122.22,1
2025-000075,2025-03-27 19:25:56,S1009,C00428,P2044,Tienda,Tarjeta,Sin Promo,1,408.67,0.1,408.67,53.13,355.54,214.81,0
2025-000076,2025-09-08 06:51:51,S1022,C00294,P2114,Web,Financiamiento,Cyber Week,3,526.3,0.05,1578.9,236.84,1342.06,274.57,0
2025-000077,2025-04-24 12:27:27,S1006,C00202,P2048,Marketplace,Transferencia,Cyber Week,2,256.13,0.2,512.26,66.59,445.67,183.57,0
2025-000078,2025-05-13 08:44:15,S1002,C00482,P2090,Marketplace,Billetera Digital,Promo 15%,2,123.88,0.0,247.76,32.21,215.55,72.93,1
2025-000079,2025-02-25 21:35:14,S1033,C00560,P2027,Web,Billetera Digital,Cyber Week,1,265.38,0.2,265.38,39.81,225.57,230.42,0
2025-000080,2025-01-17 06:22:04,S1045,C00115,P2100,Marketplace,Tarjeta,2x1,5,571.97,0.0,2859.85,371.78,2488.07,422.9,1
2025-000081,2025-01-17 14:17:04,S1006,C00785,P2001,Web,Financiamiento,Sin Promo,2,76.66,0.2,153.32,19.93,133.39,59.67,0
2025-000082,2025-11-13 07:12:42,S1028,C00366,P2113,Call Center,Financiamiento,2x1,3,282.77,0.05,848.31,127.25,721.06,139.53,0
2025-000083,2025-03-31 05:19:48,S1039,C00518,P2051,Web,Efectivo,Sin Promo,1,855.46,0.0,855.46,111.21,744.25,394.02,0
2025-000084,2025-11-23 02:00:40,S1033,C00698,P2029,Tienda,Transferencia,Cyber Week,2,491.5,0.0,983.0,147.45,835.55,271.13,0
2025-000085,2025-01-29 04:53:16,S1021,C00445,P2118,Call Center,Tarjeta,2x1,4,52.12,0.2,208.48,31.27,177.21,45.65,0
2025-000086,2025-01-19 06:16:04,S1030,C00035,P2050,Call Center,Billetera Digital,Sin Promo,2,273.95,0.0,547.9,82.18,465.72,192.16,0
2025-000087,2025-12-08 02:54:27,S1036,C00754,P2089,Marketplace,Billetera Digital,Sin Promo,1,589.23,0.2,589.23,88.38,500.85,351.93,0
2025-000088,2025-10-15 23:36:37,S1041,C00481,P2158,Call Center,Transferencia,Sin Promo,3,542.39,0.0,1627.17,211.53,1415.64,274.83,0
2025-000089,2025-04-28 22:44:37,S1017,C00667,P2084,Marketplace,Financiamiento,Black Friday,2,10.89,0.0,21.78,2.61,19.17,8.31,0
2025-000090,2025-06-08 07:29:27,S1017,C00201,P2095,Tienda,Tarjeta,Promo 10%,1,693.43,0.05,693.43,83.21,610.22,368.2,0
2025-000091,2025-12-01 03:56:51,S1026,C00392,P2135,Web,Financiamiento,Cyber Week,1,152.93,0.0,152.93,22.94,129.99,71.27,0
2025-000092,2025-07-16 19:57:03,S1036,C00501,P2038,Tienda,Efectivo,2x1,1,139.95,0.0,139.95,20.99,118.96,104.22,0
2025-000093,2025-09-15 07:51:20,S1044,C00443,P2122,Marketplace,Financiamiento,Sin Promo,2,681.62,0.0,1363.24,177.22,1186.02,324.38,0
2025-000094,2025-01-11 14:43:41,S1023,C00516,P2039,Marketplace,Financiamiento,Sin Promo,2,381.6,0.2,763.2,114.48,648.72,251.05,0
2025-000095,2025-03-15 09:00:38,S1004,C00059,P2075,Web,Transferencia,Black Friday,1,551.05,0.05,551.05,71.64,479.41,301.87,0
2025-000096,2025-09-09 05:37:32,S1007,C00743,P2143,Marketplace,Billetera Digital,Promo 10%,1,140.35,0.2,140.35,18.25,122.1,101.86,0
2025-000097,2025-07-18 23:30:14,S1038,C00097,P2021,Web,Tarjeta,Sin Promo,4,439.47,0.0,1757.88,228.52,1529.36,239.98,0
2025-000098,2025-07-09 23:14:38,S1006,C00719,P2120,Marketplace,Billetera Digital,Black Friday,1,199.5,0.0,199.5,25.94,173.56,113.2,0
2025-000099,2025-09-10 14:24:26,S1026,C00380,P2022,Marketplace,Tarjeta,2x1,1,382.44,0.15,382.44,57.37,325.07,325.44,0
2025-000100,2025-08-14 13:26:54,S1001,C00303,P2090,Tienda,Financiamiento,Promo 15%,2,123.88,0.0,247.76,32.21,215.55,72.93,0
2025-000101,2025-08-03 09:49:16,S1044,C00765,P2128,Web,Financiamiento,Sin Promo,2,557.39,0.0,1114.78,144.92,969.86,269.57,0
2025-000102,2025-08-09 19:55:56,S1029,C00627,P2085,Call Center,Transferencia,Promo 10%,1,31.02,0.0,31.02,4.65,26.37,20.07,0
2025-000103,2025-10-26 23:22:44,S1016,C00561,P2105,Call Center,Billetera Digital,Sin Promo,4,540.92,0.2,2163.68,259.64,1904.04,320.12,0
2025-000104,2025-05-28 23:35:57,S1041,C00013,P2025,Marketplace,Transferencia,Sin Promo,2,664.27,0.0,1328.54,172.71,1155.83,394.63,0
2025-000105,2025-05-06 01:39:09,S1039,C00598,P2126,Call Center,Efectivo,2x1,1,581.52,0.15,581.52,75.6,505.92,413.19,0
2025-000106,2025-03-26 13:38:18,S1022,C00244,P2104,Web,Billetera Digital,Sin Promo,1,596.9,0.15,596.9,89.53,507.37,405.18,1
2025-000107,2025-06-05 15:50:11,S1016,C00687,P2122,Marketplace,Tarjeta,Promo 10%,4,647.54,0.05,2590.16,310.82,2279.34,324.38,0
2025-000108,2025-09-06 08:14:17,S1030,C00481,P2005,Call Center,Billetera Digital,Cyber Week,2,464.04,0.15,928.08,139.21,788.87,390.45,0
2025-000109,2025-12-08 08:22:04,S1001,C00515,P2149,Call Center,Transferencia,Sin Promo,2,224.81,0.0,449.62,58.45,391.17,173.08,1
2025-000110,2025-03-22 13:15:50,S1023,C00568,P2128,Marketplace,Tarjeta,Cyber Week,2,557.39,0.0,1114.78,167.22,947.56,269.57,0
2025-000111,2025-04-24 23:00:04,S1013,C00468,P2020,Marketplace,Transferencia,Promo 15%,1,49.36,0.0,49.36,5.92,43.44,32.33,0
2025-000112,2025-07-29 18:13:43,S1036,C00541,P2096,Web,Efectivo,Promo 15%,2,540.6,0.15,1081.2,162.18,919.02,369.96,0
2025-000113,2025-07-20 14:26:56,S1026,C00579,P2004,Web,Billetera Digital,2x1,1,516.47,0.05,516.47,77.47,439.0,298.92,0
2025-000114,2025-08-21 06:58:12,S1007,C00326,P2076,Call Center,Billetera Digital,Cyber Week,3,87.77,0.1,263.31,34.23,229.08,50.2,0
2025-000115,2025-08-20 03:50:51,S1021,C00541,P2023,Call Center,Tarjeta,Cyber Week,2,450.29,0.15,900.58,135.09,765.49,346.8,0
2025-000116,2025-04-05 00:25:52,S1030,C00041,P2102,Web,Efectivo,Cyber Week,2,500.87,0.0,1001.74,150.26,851.48,270.07,0
2025-000117,2025-09-08 17:14:38,S1011,C00104,P2148,Web,Financiamiento,Cyber Week,4,674.81,0.0,2699.24,323.91,2375.33,390.62,0
2025-000118,2025-09-12 05:23:59,S1019,C00740,P2012,Web,Billetera Digital,Cyber Week,1,788.33,0.0,788.33,118.25,670.08,363.05,0
2025-000119,2025-08-25 12:16:49,S1020,C00534,P2080,Tienda,Billetera Digital,Black Friday,2,286.7,0.05,573.4,86.01,487.39,221.89,0
2025-000120,2025-10-19 12:54:21,S1038,C00156,P2021,Call Center,Transferencia,Promo 15%,1,417.5,0.05,417.5,54.27,363.23,239.98,0
2025-000121,2025-07-17 21:59:26,S1026,C00507,P2151,Tienda,Tarjeta,2x1,1,209.24,0.15,209.24,31.39,177.85,116.51,0
2025-000122,2025-03-31 02:46:21,S1024,C00597,P2155,Web,Tarjeta,Black Friday,1,133.73,0.15,133.73,20.06,113.67,71.96,0
2025-000123,2025-05-29 12:59:21,S1032,C00475,P2047,Marketplace,Billetera Digital,2x1,1,456.79,0.0,456.79,68.52,388.27,295.44,0
2025-000124,2025-09-06 23:24:18,S1044,C00782,P2047,Web,Financiamiento,Cyber Week,3,411.11,0.1,1233.33,160.33,1073.0,295.44,0
2025-000125,2025-07-21 04:33:44,S1006,C00674,P2150,Tienda,Tarjeta,Cyber Week,1,222.37,0.05,222.37,28.91,193.46,154.53,0
2025-000126,2025-07-26 03:21:47,S1034,C00607,P2117,Marketplace,Efectivo,Promo 15%,2,75.78,0.1,151.56,22.73,128.83,41.82,0
2025-000127,2025-04-03 22:39:24,S1021,C00483,P2143,Call Center,Transferencia,2x1,1,149.12,0.15,149.12,22.37,126.75,101.86,0
2025-000128,2025-01-15 03:18:40,S1009,C00375,P2109,Marketplace,Tarjeta,2x1,4,166.62,0.2,666.48,86.64,579.84,141.94,0
2025-000129,2025-01-04 17:15:53,S1016,C00200,P2016,Call Center,Transferencia,Black Friday,1,155.33,0.1,155.33,18.64,136.69,121.18,0
2025-000130,2025-01-25 21:27:32,S1044,C00678,P2070,Call Center,Financiamiento,Cyber Week,2,614.79,0.0,1229.58,159.85,1069.73,281.04,0
2025-000131,2025-02-17 15:06:48,S1018,C00214,P2014,Call Center,Financiamiento,Promo 15%,1,344.15,0.2,344.15,41.3,302.85,296.33,0
2025-000132,2025-09-04 08:41:45,S1031,C00552,P2017,Marketplace,Financiamiento,Promo 15%,2,224.24,0.2,448.48,67.27,381.21,182.13,0
2025-000133,2025-08-17 03:15:11,S1017,C00230,P2103,Web,Efectivo,Promo 15%,5,424.9,0.0,2124.5,254.94,1869.56,274.37,0
2025-000134,2025-05-18 21:28:03,S1023,C00704,P2102,Tienda,Billetera Digital,Sin Promo,1,425.74,0.15,425.74,63.86,361.88,270.07,1
2025-000135,2025-06-15 07:44:06,S1027,C00377,P2028,Marketplace,Tarjeta,Sin Promo,2,598.19,0.0,1196.38,179.46,1016.92,344.08,0
2025-000136,2025-05-29 09:28:56,S1007,C00347,P2125,Tienda,Financiamiento,2x1,1,310.19,0.1,310.19,40.32,269.87,235.01,0
2025-000137,2025-04-28 12:30:16,S1031,C00029,P2014,Web,Financiamiento,Cyber Week,1,344.15,0.2,344.15,51.62,292.53,296.33,0
2025-000138,2025-01-25 14:13:39,S1026,,P2152,Web,Efectivo,Cyber Week,1,474.53,0.05,474.53,71.18,403.35,338.06,0
2025-000139,2025-09-06 21:58:22,S1042,C00250,P2142,Web,Billetera Digital,Sin Promo,1,469.2,0.05,469.2,61.0,408.2,331.65,0
2025-000140,2025-07-21 21:17:59,S1017,C00613,P2078,Web,Billetera Digital,Sin Promo,1,157.38,0.05,157.38,18.89,138.49,125.47,0
2025-000141,2025-07-12 09:50:32,S1015,C00367,P2039,Marketplace,Efectivo,Black Friday,1,405.45,0.15,405.45,48.65,356.8,251.05,0
2025-000142,2025-05-08 21:35:49,S1023,C00473,P2158,Tienda,Financiamiento,Cyber Week,3,542.39,0.0,1627.17,244.08,1383.09,274.83,0
2025-000143,2025-10-04 18:31:13,S1026,C00392,P2080,Call Center,Tarjeta,Promo 15%,4,271.61,0.1,1086.44,162.97,923.47,221.89,0
2025-000144,2025-09-02 14:29:51,S1034,C00784,P2138,Web,Transferencia,Promo 15%,2,684.1,0.05,1368.2,205.23,1162.97,375.47,0
2025-000145,2025-11-28 14:10:34,S1020,C00608,P2005,Tienda,Transferencia,Promo 10%,1,436.74,0.2,436.74,65.51,371.23,390.45,0
2025-000146,2025-06-18 11:13:21,S1032,C00412,P2121,Marketplace,Transferencia,Cyber Week,1,355.11,0.15,355.11,53.27,301.84,207.12,0
2025-000147,2025-10-27 05:36:08,S1003,C00262,P2106,Marketplace,Efectivo,Promo 10%,3,369.14,0.2,1107.42,143.96,963.46,310.34,1
2025-000148,2025-10-13 18:03:55,S1013,C00441,P2084,Call Center,Transferencia,Black Friday,1,9.26,0.15,9.26,1.11,8.15,8.31,0
2025-000149,2025-05-12 01:02:04,S1016,C00372,P2148,Tienda,Transferencia,Black Friday,2,674.81,0.0,1349.62,161.95,1187.67,390.62,1
2025-000150,2025-06-25 20:28:28,S1007,C00313,P2100,Call Center,Financiamiento,Sin Promo,1,571.97,0.0,571.97,74.36,497.61,422.9,0
2025-000151,2025-07-08 23:03:30,S1026,C00587,P2142,Web,Billetera Digital,Sin Promo,1,419.81,0.15,419.81,62.97,356.84,331.65,0
2025-000152,2025-10-19 12:59:33,S1015,C00327,P2155,Tienda,Financiamiento,Promo 10%,1,149.46,0.05,149.46,17.94,131.52,71.96,0
2025-000153,2025-09-15 13:32:59,S1006,C00368,P2057,Web,Billetera Digital,Sin Promo,1,419.8,0.0,419.8,54.57,365.23,314.68,0
2025-000154,2025-09-02 19:06:01,S1003,C00098,P2037,Marketplace,Efectivo,Black Friday,2,530.23,0.15,1060.46,137.86,922.6,405.23,0
2025-000155,2025-04-02 10:20:18,S1013,C00591,P2151,Call Center,Efectivo,2x1,2,196.94,0.2,393.88,47.27,346.61,116.51,0
2025-000156,2025-07-16 03:14:47,S1040,C00774,P2121,Web,Efectivo,Black Friday,2,417.78,0.0,835.56,108.62,726.94,207.12,0
2025-000157,2025-06-20 01:39:51,S1015,C00699,P2151,Web,Efectivo,Promo 15%,2,209.24,0.15,418.48,50.22,368.26,116.51,0
2025-000158,2025-06-09 06:03:22,S1040,C00340,P2136,Marketplace,Efectivo,Cyber Week,1,123.84,0.2,123.84,16.1,107.74,99.42,1
2025-000159,2025-10-11 14:25:40,S1024,C00276,P2048,Tienda,Tarjeta,Black Friday,2,320.16,0.0,640.32,96.05,544.27,183.57,0
2025-000160,2025-04-15 23:52:37,S1043,C00266,P2142,Web,Financiamiento,Cyber Week,1,395.11,0.2,395.11,51.36,343.75,331.65,0
2025-000161,2025-07-25 08:37:50,S1022,C00002,P2001,Call Center,Billetera Digital,Promo 15%,2,95.82,0.0,191.64,28.75,162.89,59.67,0
2025-000162,2025-12-14 03:11:41,S1024,C00479,P2065,Web,Transferencia,Promo 15%,3,367.46,0.1,1102.38,165.36,937.02,269.16,1
2025-000163,2025-08-07 23:50:52,S1006,C00248,P2031,Web,Billetera Digital,Promo 10%,1,162.88,0.2,162.88,21.17,141.71,111.43,0
2025-000164,2025-12-03 16:30:53,S1004,C00731,P2020,Call Center,Billetera Digital,Sin Promo,2,49.36,0.0,98.72,12.83,85.89,32.33,0
2025-000165,2025-02-10 09:53:04,S1038,C00041,P2041,Tienda,Transferencia,Promo 10%,1,46.52,0.0,46.52,6.05,40.47,34.06,0
2025-000166,2025-11-12 08:11:36,S1021,C00137,P2046,Call Center,Financiamiento,Black Friday,6,326.31,0.1,1957.86,293.68,1664.18,192.92,0
2025-000167,2025-12-10 18:47:23,S1030,C00613,P2114,Tienda,Tarjeta,2x1,1,554.0,0.0,554.0,83.1,470.9,274.57,1
2025-000168,2025-01-22 23:00:09,S1001,C00614,P2157,Web,Billetera Digital,2x1,3,223.38,0.0,670.14,87.12,583.02,118.28,0
2025-000169,2025-10-14 22:22:58,S1029,C00067,P2044,Tienda,Transferencia,Promo 15%,1,363.26,0.2,363.26,54.49,308.77,214.81,0
2025-000170,2025-12-23 15:36:29,S1007,C00382,P2091,Web,Transferencia,Sin Promo,1,541.5,0.0,541.5,70.39,471.11,397.11,1
2025-000171,2025-07-15 11:01:16,S1012,C00729,P2100,Marketplace,Efectivo,Cyber Week,3,486.17,0.15,1458.51,175.02,1283.49,422.9,0
2025-000172,2025-02-14 22:21:44,S1041,C00620,P2132,Marketplace,Transferencia,Sin Promo,4,289.45,0.1,1157.8,150.51,1007.29,220.13,0
2025-000173,2025-08-17 16:26:55,S1040,C00554,P2004,Tienda,Transferencia,Promo 10%,3,543.65,0.0,1630.95,212.02,1418.93,298.92,1
2025-000174,2025-06-10 15:01:27,S1031,C00490,P2064,Marketplace,Efectivo,Promo 15%,1,82.18,0.1,82.18,12.33,69.85,57.47,0
2025-000175,2025-01-24 06:27:23,S1026,C00124,P2141,Call Center,Efectivo,Black Friday,4,790.87,0.05,3163.48,474.52,2688.96,384.64,0
2025-000176,2025-06-05 16:21:56,S1027,C00088,P2142,Call Center,Billetera Digital,Cyber Week,1,395.11,0.2,395.11,59.27,335.84,331.65,0
2025-000177,2025-11-08 01:59:31,S1004,C00311,P2021,Marketplace,Transferencia,Sin Promo,1,439.47,0.0,439.47,57.13,382.34,239.98,0
2025-000178,2025-12-20 22:41:59,S1007,C00746,P2022,Web,Transferencia,Black Friday,1,449.93,0.0,449.93,58.49,391.44,325.44,0
